frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,buthaina_3m,ArcFace-R50,0.124,0.0,0.0,0.0,0,
2,buthaina_3m,ArcFace-R50,0.145,0.0,0.0,0.0,0,
3,buthaina_3m,ArcFace-R50,0.182,0.0,0.0,0.0,0,
4,buthaina_3m,ArcFace-R50,0.217,0.0,0.0,0.0,0,
5,buthaina_3m,ArcFace-R50,0.254,0.0,0.0,0.0,0,
6,buthaina_3m,ArcFace-R50,0.292,0.0,0.0,0.0,0,
7,buthaina_3m,ArcFace-R50,0.329,0.0,0.0,0.0,0,
8,buthaina_3m,ArcFace-R50,0.365,0.0,0.0,0.0,0,
9,buthaina_3m,ArcFace-R50,0.402,0.0,0.0,0.0,0,
10,buthaina_3m,ArcFace-R50,0.437,0.0,0.0,0.0,0,
11,buthaina_3m,ArcFace-R50,0.478,0.0,0.0,0.0,0,
12,buthaina_3m,ArcFace-R50,0.516,0.0,0.0,0.0,0,
13,buthaina_3m,ArcFace-R50,0.554,0.0,0.0,0.0,0,
14,buthaina_3m,ArcFace-R50,0.592,0.0,0.0,0.0,0,
15,buthaina_3m,ArcFace-R50,0.628,0.0,0.0,0.0,0,
16,buthaina_3m,ArcFace-R50,0.664,0.0,0.0,0.0,0,
17,buthaina_3m,ArcFace-R50,0.699,0.0,0.0,0.0,0,
18,buthaina_3m,ArcFace-R50,0.734,0.0,0.0,0.0,0,
19,buthaina_3m,ArcFace-R50,0.772,0.0,0.0,0.0,0,
20,buthaina_3m,ArcFace-R50,0.811,0.0,0.0,0.0,0,
21,buthaina_3m,ArcFace-R50,0.849,0.0,0.0,0.0,0,
22,buthaina_3m,ArcFace-R50,0.886,0.0,0.0,0.0,0,
23,buthaina_3m,ArcFace-R50,0.925,0.0,0.0,0.0,0,
24,buthaina_3m,ArcFace-R50,0.964,0.0,0.0,0.0,0,
25,buthaina_3m,ArcFace-R50,1.002,0.0,0.0,0.0,0,
26,buthaina_3m,ArcFace-R50,1.042,0.0,0.0,0.0,0,
27,buthaina_3m,ArcFace-R50,1.08,0.0,0.0,0.0,0,
28,buthaina_3m,ArcFace-R50,1.118,0.0,0.0,0.0,0,
29,buthaina_3m,ArcFace-R50,1.156,0.0,0.0,0.0,0,
30,buthaina_3m,ArcFace-R50,1.195,0.0,0.0,0.0,0,
31,buthaina_3m,ArcFace-R50,1.233,0.0,0.0,0.0,0,
32,buthaina_3m,ArcFace-R50,1.271,0.0,0.0,0.0,0,
33,buthaina_3m,ArcFace-R50,1.316,0.0,0.0,0.0,0,
34,buthaina_3m,ArcFace-R50,1.341,0.0,0.0,0.0,0,
35,buthaina_3m,ArcFace-R50,1.378,0.0,0.0,0.0,0,
36,buthaina_3m,ArcFace-R50,1.414,0.0,0.0,0.0,0,
37,buthaina_3m,ArcFace-R50,1.451,0.0,0.0,0.0,0,
38,buthaina_3m,ArcFace-R50,1.49,0.0,0.0,0.0,0,
39,buthaina_3m,ArcFace-R50,1.528,0.0,0.0,0.0,0,
40,buthaina_3m,ArcFace-R50,1.567,0.0,0.0,0.0,0,
41,buthaina_3m,ArcFace-R50,1.605,0.0,0.0,0.0,0,
42,buthaina_3m,ArcFace-R50,1.645,0.0,0.0,0.0,0,
43,buthaina_3m,ArcFace-R50,1.682,0.0,0.0,0.0,0,
44,buthaina_3m,ArcFace-R50,1.725,0.0,0.0,0.0,0,
45,buthaina_3m,ArcFace-R50,1.761,423.49,19.59,402.4,1,Unknown;Unknown
