frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,kevin_glasses,ArcFace-R50,0.077,0.0,0.0,0.0,0,
2,kevin_glasses,ArcFace-R50,0.092,0.0,0.0,0.0,0,
3,kevin_glasses,ArcFace-R50,0.11,0.0,0.0,0.0,0,
4,kevin_glasses,ArcFace-R50,0.14,0.0,0.0,0.0,0,
5,kevin_glasses,ArcFace-R50,0.158,0.0,0.0,0.0,0,
6,kevin_glasses,ArcFace-R50,0.189,0.0,0.0,0.0,0,
7,kevin_glasses,ArcFace-R50,0.207,0.0,0.0,0.0,0,
8,kevin_glasses,ArcFace-R50,0.228,0.0,0.0,0.0,0,
9,kevin_glasses,ArcFace-R50,0.249,0.0,0.0,0.0,0,
10,kevin_glasses,ArcFace-R50,0.267,0.0,0.0,0.0,0,
11,kevin_glasses,ArcFace-R50,0.285,0.0,0.0,0.0,0,
12,kevin_glasses,ArcFace-R50,0.305,0.0,0.0,0.0,0,
13,kevin_glasses,ArcFace-R50,0.325,0.0,0.0,0.0,0,
14,kevin_glasses,ArcFace-R50,0.344,0.0,0.0,0.0,0,
15,kevin_glasses,ArcFace-R50,0.363,0.0,0.0,0.0,0,
16,kevin_glasses,ArcFace-R50,0.383,0.0,0.0,0.0,0,
17,kevin_glasses,ArcFace-R50,0.402,0.0,0.0,0.0,0,
18,kevin_glasses,ArcFace-R50,0.421,0.0,0.0,0.0,0,
19,kevin_glasses,ArcFace-R50,0.44,0.0,0.0,0.0,0,
20,kevin_glasses,ArcFace-R50,0.47,0.0,0.0,0.0,0,
21,kevin_glasses,ArcFace-R50,0.489,0.0,0.0,0.0,0,
22,kevin_glasses,ArcFace-R50,0.511,0.0,0.0,0.0,0,
23,kevin_glasses,ArcFace-R50,0.531,0.0,0.0,0.0,0,
24,kevin_glasses,ArcFace-R50,0.55,0.0,0.0,0.0,0,
25,kevin_glasses,ArcFace-R50,0.57,0.0,0.0,0.0,0,
26,kevin_glasses,ArcFace-R50,0.59,0.0,0.0,0.0,0,
27,kevin_glasses,ArcFace-R50,0.608,0.0,0.0,0.0,0,
28,kevin_glasses,ArcFace-R50,0.63,0.0,0.0,0.0,0,
29,kevin_glasses,ArcFace-R50,0.649,0.0,0.0,0.0,0,
30,kevin_glasses,ArcFace-R50,0.68,0.0,0.0,0.0,0,
31,kevin_glasses,ArcFace-R50,0.712,0.0,0.0,0.0,0,
32,kevin_glasses,ArcFace-R50,0.732,0.0,0.0,0.0,0,
33,kevin_glasses,ArcFace-R50,0.752,0.0,0.0,0.0,0,
34,kevin_glasses,ArcFace-R50,0.771,0.0,0.0,0.0,0,
35,kevin_glasses,ArcFace-R50,0.792,0.0,0.0,0.0,0,
36,kevin_glasses,ArcFace-R50,0.813,0.0,0.0,0.0,0,
37,kevin_glasses,ArcFace-R50,0.835,0.0,0.0,0.0,0,
38,kevin_glasses,ArcFace-R50,0.856,0.0,0.0,0.0,0,
39,kevin_glasses,ArcFace-R50,0.878,0.0,0.0,0.0,0,
40,kevin_glasses,ArcFace-R50,0.9,0.0,0.0,0.0,0,
41,kevin_glasses,ArcFace-R50,0.918,0.0,0.0,0.0,0,
42,kevin_glasses,ArcFace-R50,0.94,0.0,0.0,0.0,0,
43,kevin_glasses,ArcFace-R50,0.959,0.0,0.0,0.0,0,
44,kevin_glasses,ArcFace-R50,0.98,0.0,0.0,0.0,0,
45,kevin_glasses,ArcFace-R50,0.999,0.0,0.0,0.0,0,
46,kevin_glasses,ArcFace-R50,1.019,0.0,0.0,0.0,0,
47,kevin_glasses,ArcFace-R50,1.039,0.0,0.0,0.0,0,
48,kevin_glasses,ArcFace-R50,1.059,0.0,0.0,0.0,0,
49,kevin_glasses,ArcFace-R50,1.081,0.0,0.0,0.0,0,
50,kevin_glasses,ArcFace-R50,1.1,0.0,0.0,0.0,0,
51,kevin_glasses,ArcFace-R50,1.121,0.0,0.0,0.0,0,
52,kevin_glasses,ArcFace-R50,1.14,0.0,0.0,0.0,0,
53,kevin_glasses,ArcFace-R50,1.161,0.0,0.0,0.0,0,
54,kevin_glasses,ArcFace-R50,1.182,0.0,0.0,0.0,0,
55,kevin_glasses,ArcFace-R50,1.205,0.0,0.0,0.0,0,
56,kevin_glasses,ArcFace-R50,1.226,0.0,0.0,0.0,0,
57,kevin_glasses,ArcFace-R50,1.246,0.0,0.0,0.0,0,
58,kevin_glasses,ArcFace-R50,1.266,0.0,0.0,0.0,0,
59,kevin_glasses,ArcFace-R50,1.289,0.0,0.0,0.0,0,
60,kevin_glasses,ArcFace-R50,1.31,0.0,0.0,0.0,0,
61,kevin_glasses,ArcFace-R50,1.332,0.0,0.0,0.0,0,
62,kevin_glasses,ArcFace-R50,1.35,0.0,0.0,0.0,0,
63,kevin_glasses,ArcFace-R50,1.373,0.0,0.0,0.0,0,
64,kevin_glasses,ArcFace-R50,1.393,0.0,0.0,0.0,0,
65,kevin_glasses,ArcFace-R50,1.414,0.0,0.0,0.0,0,
66,kevin_glasses,ArcFace-R50,1.434,0.0,0.0,0.0,0,
67,kevin_glasses,ArcFace-R50,1.453,0.0,0.0,0.0,0,
68,kevin_glasses,ArcFace-R50,1.473,0.0,0.0,0.0,0,
69,kevin_glasses,ArcFace-R50,1.496,0.0,0.0,0.0,0,
70,kevin_glasses,ArcFace-R50,1.516,0.0,0.0,0.0,0,
71,kevin_glasses,ArcFace-R50,1.535,0.0,0.0,0.0,0,
72,kevin_glasses,ArcFace-R50,1.553,0.0,0.0,0.0,0,
73,kevin_glasses,ArcFace-R50,1.584,0.0,0.0,0.0,0,
74,kevin_glasses,ArcFace-R50,1.603,0.0,0.0,0.0,0,
75,kevin_glasses,ArcFace-R50,1.623,0.0,0.0,0.0,0,
76,kevin_glasses,ArcFace-R50,1.641,0.0,0.0,0.0,0,
77,kevin_glasses,ArcFace-R50,1.661,0.0,0.0,0.0,0,
78,kevin_glasses,ArcFace-R50,1.679,0.0,0.0,0.0,0,
79,kevin_glasses,ArcFace-R50,1.702,0.0,0.0,0.0,0,
80,kevin_glasses,ArcFace-R50,1.72,424.63,62.24,361.87,1,Unknown;Unknown
81,kevin_glasses,ArcFace-R50,1.751,424.63,62.24,361.87,1,Unknown;Unknown
82,kevin_glasses,ArcFace-R50,1.768,424.63,62.24,361.87,1,Unknown;Unknown
83,kevin_glasses,ArcFace-R50,1.788,424.63,62.24,361.87,1,Unknown;Unknown
84,kevin_glasses,ArcFace-R50,1.807,424.63,62.24,361.87,1,Unknown;Unknown
85,kevin_glasses,ArcFace-R50,1.828,424.63,62.24,361.87,1,Unknown;Unknown
86,kevin_glasses,ArcFace-R50,1.847,424.63,62.24,361.87,1,Unknown;Unknown
87,kevin_glasses,ArcFace-R50,1.869,424.63,62.24,361.87,1,Unknown;Unknown
88,kevin_glasses,ArcFace-R50,1.889,424.63,62.24,361.87,1,Unknown;Unknown
