frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,kevin_mask,ArcFace-R50,0.083,0.0,0.0,0.0,0,
2,kevin_mask,ArcFace-R50,0.098,0.0,0.0,0.0,0,
3,kevin_mask,ArcFace-R50,0.116,0.0,0.0,0.0,0,
4,kevin_mask,ArcFace-R50,0.135,0.0,0.0,0.0,0,
5,kevin_mask,ArcFace-R50,0.155,0.0,0.0,0.0,0,
6,kevin_mask,ArcFace-R50,0.174,0.0,0.0,0.0,0,
7,kevin_mask,ArcFace-R50,0.192,0.0,0.0,0.0,0,
8,kevin_mask,ArcFace-R50,0.212,0.0,0.0,0.0,0,
9,kevin_mask,ArcFace-R50,0.232,0.0,0.0,0.0,0,
10,kevin_mask,ArcFace-R50,0.252,0.0,0.0,0.0,0,
11,kevin_mask,ArcFace-R50,0.273,0.0,0.0,0.0,0,
12,kevin_mask,ArcFace-R50,0.293,0.0,0.0,0.0,0,
13,kevin_mask,ArcFace-R50,0.311,0.0,0.0,0.0,0,
14,kevin_mask,ArcFace-R50,0.341,0.0,0.0,0.0,0,
15,kevin_mask,ArcFace-R50,0.361,0.0,0.0,0.0,0,
16,kevin_mask,ArcFace-R50,0.381,0.0,0.0,0.0,0,
17,kevin_mask,ArcFace-R50,0.411,0.0,0.0,0.0,0,
18,kevin_mask,ArcFace-R50,0.43,0.0,0.0,0.0,0,
19,kevin_mask,ArcFace-R50,0.45,0.0,0.0,0.0,0,
20,kevin_mask,ArcFace-R50,0.468,0.0,0.0,0.0,0,
21,kevin_mask,ArcFace-R50,0.489,0.0,0.0,0.0,0,
22,kevin_mask,ArcFace-R50,0.508,0.0,0.0,0.0,0,
23,kevin_mask,ArcFace-R50,0.527,0.0,0.0,0.0,0,
24,kevin_mask,ArcFace-R50,0.546,0.0,0.0,0.0,0,
25,kevin_mask,ArcFace-R50,0.576,0.0,0.0,0.0,0,
26,kevin_mask,ArcFace-R50,0.598,0.0,0.0,0.0,0,
27,kevin_mask,ArcFace-R50,0.619,0.0,0.0,0.0,0,
28,kevin_mask,ArcFace-R50,0.639,0.0,0.0,0.0,0,
29,kevin_mask,ArcFace-R50,0.66,0.0,0.0,0.0,0,
30,kevin_mask,ArcFace-R50,0.681,0.0,0.0,0.0,0,
31,kevin_mask,ArcFace-R50,0.699,0.0,0.0,0.0,0,
32,kevin_mask,ArcFace-R50,0.72,0.0,0.0,0.0,0,
33,kevin_mask,ArcFace-R50,0.741,0.0,0.0,0.0,0,
34,kevin_mask,ArcFace-R50,0.761,0.0,0.0,0.0,0,
