frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,marshall_overhead4020,ArcFace-R50,0.098,0.0,0.0,0.0,0,
2,marshall_overhead4020,ArcFace-R50,0.113,0.0,0.0,0.0,0,
3,marshall_overhead4020,ArcFace-R50,0.134,0.0,0.0,0.0,0,
4,marshall_overhead4020,ArcFace-R50,0.155,0.0,0.0,0.0,0,
5,marshall_overhead4020,ArcFace-R50,0.174,0.0,0.0,0.0,0,
6,marshall_overhead4020,ArcFace-R50,0.205,0.0,0.0,0.0,0,
7,marshall_overhead4020,ArcFace-R50,0.225,0.0,0.0,0.0,0,
8,marshall_overhead4020,ArcFace-R50,0.244,0.0,0.0,0.0,0,
9,marshall_overhead4020,ArcFace-R50,0.263,0.0,0.0,0.0,0,
10,marshall_overhead4020,ArcFace-R50,0.285,0.0,0.0,0.0,0,
11,marshall_overhead4020,ArcFace-R50,0.304,0.0,0.0,0.0,0,
12,marshall_overhead4020,ArcFace-R50,0.324,0.0,0.0,0.0,0,
13,marshall_overhead4020,ArcFace-R50,0.344,0.0,0.0,0.0,0,
14,marshall_overhead4020,ArcFace-R50,0.374,0.0,0.0,0.0,0,
15,marshall_overhead4020,ArcFace-R50,0.406,0.0,0.0,0.0,0,
16,marshall_overhead4020,ArcFace-R50,0.426,0.0,0.0,0.0,0,
17,marshall_overhead4020,ArcFace-R50,0.445,0.0,0.0,0.0,0,
18,marshall_overhead4020,ArcFace-R50,0.464,0.0,0.0,0.0,0,
19,marshall_overhead4020,ArcFace-R50,0.483,0.0,0.0,0.0,0,
20,marshall_overhead4020,ArcFace-R50,0.505,0.0,0.0,0.0,0,
21,marshall_overhead4020,ArcFace-R50,0.524,0.0,0.0,0.0,0,
22,marshall_overhead4020,ArcFace-R50,0.544,0.0,0.0,0.0,0,
23,marshall_overhead4020,ArcFace-R50,0.563,0.0,0.0,0.0,0,
24,marshall_overhead4020,ArcFace-R50,0.583,0.0,0.0,0.0,0,
25,marshall_overhead4020,ArcFace-R50,0.603,0.0,0.0,0.0,0,
26,marshall_overhead4020,ArcFace-R50,0.622,0.0,0.0,0.0,0,
27,marshall_overhead4020,ArcFace-R50,0.643,0.0,0.0,0.0,0,
28,marshall_overhead4020,ArcFace-R50,0.664,0.0,0.0,0.0,0,
29,marshall_overhead4020,ArcFace-R50,0.683,0.0,0.0,0.0,0,
30,marshall_overhead4020,ArcFace-R50,0.704,0.0,0.0,0.0,0,
31,marshall_overhead4020,ArcFace-R50,0.724,0.0,0.0,0.0,0,
32,marshall_overhead4020,ArcFace-R50,0.742,0.0,0.0,0.0,0,
33,marshall_overhead4020,ArcFace-R50,0.761,0.0,0.0,0.0,0,
34,marshall_overhead4020,ArcFace-R50,0.781,0.0,0.0,0.0,0,
35,marshall_overhead4020,ArcFace-R50,0.801,0.0,0.0,0.0,0,
36,marshall_overhead4020,ArcFace-R50,0.821,0.0,0.0,0.0,0,
37,marshall_overhead4020,ArcFace-R50,0.839,0.0,0.0,0.0,0,
38,marshall_overhead4020,ArcFace-R50,0.86,0.0,0.0,0.0,0,
39,marshall_overhead4020,ArcFace-R50,0.88,0.0,0.0,0.0,0,
40,marshall_overhead4020,ArcFace-R50,0.902,0.0,0.0,0.0,0,
41,marshall_overhead4020,ArcFace-R50,0.921,0.0,0.0,0.0,0,
42,marshall_overhead4020,ArcFace-R50,0.939,0.0,0.0,0.0,0,
43,marshall_overhead4020,ArcFace-R50,0.961,0.0,0.0,0.0,0,
44,marshall_overhead4020,ArcFace-R50,0.979,0.0,0.0,0.0,0,
45,marshall_overhead4020,ArcFace-R50,1.0,0.0,0.0,0.0,0,
46,marshall_overhead4020,ArcFace-R50,1.02,0.0,0.0,0.0,0,
47,marshall_overhead4020,ArcFace-R50,1.039,0.0,0.0,0.0,0,
48,marshall_overhead4020,ArcFace-R50,1.061,0.0,0.0,0.0,0,
49,marshall_overhead4020,ArcFace-R50,1.08,0.0,0.0,0.0,0,
50,marshall_overhead4020,ArcFace-R50,1.101,0.0,0.0,0.0,0,
51,marshall_overhead4020,ArcFace-R50,1.12,0.0,0.0,0.0,0,
52,marshall_overhead4020,ArcFace-R50,1.141,0.0,0.0,0.0,0,
53,marshall_overhead4020,ArcFace-R50,1.159,0.0,0.0,0.0,0,
54,marshall_overhead4020,ArcFace-R50,1.181,0.0,0.0,0.0,0,
55,marshall_overhead4020,ArcFace-R50,1.203,0.0,0.0,0.0,0,
56,marshall_overhead4020,ArcFace-R50,1.224,0.0,0.0,0.0,0,
57,marshall_overhead4020,ArcFace-R50,1.246,0.0,0.0,0.0,0,
58,marshall_overhead4020,ArcFace-R50,1.265,0.0,0.0,0.0,0,
59,marshall_overhead4020,ArcFace-R50,1.29,0.0,0.0,0.0,0,
60,marshall_overhead4020,ArcFace-R50,1.311,0.0,0.0,0.0,0,
