frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,marshall_side40,ArcFace-R50,0.092,0.0,0.0,0.0,0,
2,marshall_side40,ArcFace-R50,0.112,0.0,0.0,0.0,0,
3,marshall_side40,ArcFace-R50,0.131,0.0,0.0,0.0,0,
4,marshall_side40,ArcFace-R50,0.15,0.0,0.0,0.0,0,
5,marshall_side40,ArcFace-R50,0.17,0.0,0.0,0.0,0,
6,marshall_side40,ArcFace-R50,0.19,0.0,0.0,0.0,0,
7,marshall_side40,ArcFace-R50,0.209,0.0,0.0,0.0,0,
8,marshall_side40,ArcFace-R50,0.228,0.0,0.0,0.0,0,
9,marshall_side40,ArcFace-R50,0.247,0.0,0.0,0.0,0,
10,marshall_side40,ArcFace-R50,0.266,0.0,0.0,0.0,0,
11,marshall_side40,ArcFace-R50,0.285,0.0,0.0,0.0,0,
12,marshall_side40,ArcFace-R50,0.306,0.0,0.0,0.0,0,
13,marshall_side40,ArcFace-R50,0.327,0.0,0.0,0.0,0,
14,marshall_side40,ArcFace-R50,0.346,0.0,0.0,0.0,0,
15,marshall_side40,ArcFace-R50,0.366,0.0,0.0,0.0,0,
16,marshall_side40,ArcFace-R50,0.387,0.0,0.0,0.0,0,
17,marshall_side40,ArcFace-R50,0.408,0.0,0.0,0.0,0,
18,marshall_side40,ArcFace-R50,0.427,0.0,0.0,0.0,0,
19,marshall_side40,ArcFace-R50,0.447,0.0,0.0,0.0,0,
20,marshall_side40,ArcFace-R50,0.466,0.0,0.0,0.0,0,
21,marshall_side40,ArcFace-R50,0.486,0.0,0.0,0.0,0,
22,marshall_side40,ArcFace-R50,0.506,0.0,0.0,0.0,0,
23,marshall_side40,ArcFace-R50,0.525,0.0,0.0,0.0,0,
24,marshall_side40,ArcFace-R50,0.546,0.0,0.0,0.0,0,
25,marshall_side40,ArcFace-R50,0.566,445.12,15.48,428.63,1,Unknown;Unknown
26,marshall_side40,ArcFace-R50,0.599,445.12,15.48,428.63,1,Unknown;Unknown
27,marshall_side40,ArcFace-R50,0.619,445.12,15.48,428.63,1,Unknown;Unknown
28,marshall_side40,ArcFace-R50,0.637,445.12,15.48,428.63,1,Unknown;Unknown
29,marshall_side40,ArcFace-R50,0.658,445.12,15.48,428.63,1,Unknown;Unknown
30,marshall_side40,ArcFace-R50,0.677,445.12,15.48,428.63,1,Unknown;Unknown
31,marshall_side40,ArcFace-R50,0.696,445.12,15.48,428.63,1,Unknown;Unknown
32,marshall_side40,ArcFace-R50,0.716,445.12,15.48,428.63,1,Unknown;Unknown
33,marshall_side40,ArcFace-R50,0.734,445.12,15.48,428.63,1,Unknown;Unknown
34,marshall_side40,ArcFace-R50,0.764,445.12,15.48,428.63,1,Unknown;Unknown
35,marshall_side40,ArcFace-R50,0.784,445.12,15.48,428.63,1,Unknown;Unknown
36,marshall_side40,ArcFace-R50,0.803,445.12,15.48,428.63,1,Unknown;Unknown
37,marshall_side40,ArcFace-R50,0.824,445.12,15.48,428.63,1,Unknown;Unknown
38,marshall_side40,ArcFace-R50,0.842,445.12,15.48,428.63,1,Unknown;Unknown
39,marshall_side40,ArcFace-R50,0.861,445.12,15.48,428.63,1,Unknown;Unknown
40,marshall_side40,ArcFace-R50,0.88,445.12,15.48,428.63,1,Unknown;Unknown
41,marshall_side40,ArcFace-R50,0.899,445.12,15.48,428.63,1,Unknown;Unknown
42,marshall_side40,ArcFace-R50,0.919,445.12,15.48,428.63,1,Unknown;Unknown
43,marshall_side40,ArcFace-R50,0.939,445.12,15.48,428.63,1,Unknown;Unknown
44,marshall_side40,ArcFace-R50,0.969,445.12,15.48,428.63,1,Unknown;Unknown
45,marshall_side40,ArcFace-R50,0.987,394.06,16.91,375.64,1,Unknown;Unknown
46,marshall_side40,ArcFace-R50,1.007,394.06,16.91,375.64,1,Unknown;Unknown
47,marshall_side40,ArcFace-R50,1.026,394.06,16.91,375.64,1,Unknown;Unknown
48,marshall_side40,ArcFace-R50,1.05,394.06,16.91,375.64,1,Unknown;Unknown
49,marshall_side40,ArcFace-R50,1.071,394.06,16.91,375.64,1,Unknown;Unknown
50,marshall_side40,ArcFace-R50,1.094,394.06,16.91,375.64,1,Unknown;Unknown
