frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_lowcontrst,ArcFace-R50,0.084,0.0,0.0,0.0,0,
2,mike_lowcontrst,ArcFace-R50,0.103,0.0,0.0,0.0,0,
3,mike_lowcontrst,ArcFace-R50,0.122,0.0,0.0,0.0,0,
4,mike_lowcontrst,ArcFace-R50,0.143,0.0,0.0,0.0,0,
5,mike_lowcontrst,ArcFace-R50,0.162,0.0,0.0,0.0,0,
6,mike_lowcontrst,ArcFace-R50,0.192,0.0,0.0,0.0,0,
7,mike_lowcontrst,ArcFace-R50,0.223,0.0,0.0,0.0,0,
8,mike_lowcontrst,ArcFace-R50,0.243,0.0,0.0,0.0,0,
9,mike_lowcontrst,ArcFace-R50,0.263,0.0,0.0,0.0,0,
10,mike_lowcontrst,ArcFace-R50,0.293,0.0,0.0,0.0,0,
11,mike_lowcontrst,ArcFace-R50,0.312,0.0,0.0,0.0,0,
12,mike_lowcontrst,ArcFace-R50,0.331,0.0,0.0,0.0,0,
13,mike_lowcontrst,ArcFace-R50,0.35,0.0,0.0,0.0,0,
14,mike_lowcontrst,ArcFace-R50,0.369,0.0,0.0,0.0,0,
15,mike_lowcontrst,ArcFace-R50,0.388,0.0,0.0,0.0,0,
16,mike_lowcontrst,ArcFace-R50,0.409,0.0,0.0,0.0,0,
17,mike_lowcontrst,ArcFace-R50,0.429,0.0,0.0,0.0,0,
18,mike_lowcontrst,ArcFace-R50,0.447,0.0,0.0,0.0,0,
19,mike_lowcontrst,ArcFace-R50,0.466,0.0,0.0,0.0,0,
20,mike_lowcontrst,ArcFace-R50,0.485,0.0,0.0,0.0,0,
21,mike_lowcontrst,ArcFace-R50,0.517,0.0,0.0,0.0,0,
22,mike_lowcontrst,ArcFace-R50,0.536,0.0,0.0,0.0,0,
23,mike_lowcontrst,ArcFace-R50,0.556,0.0,0.0,0.0,0,
24,mike_lowcontrst,ArcFace-R50,0.578,0.0,0.0,0.0,0,
