frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_neardark,ArcFace-R50,0.085,0.0,0.0,0.0,0,
2,mike_neardark,ArcFace-R50,0.105,0.0,0.0,0.0,0,
3,mike_neardark,ArcFace-R50,0.125,0.0,0.0,0.0,0,
4,mike_neardark,ArcFace-R50,0.146,0.0,0.0,0.0,0,
5,mike_neardark,ArcFace-R50,0.167,0.0,0.0,0.0,0,
6,mike_neardark,ArcFace-R50,0.187,0.0,0.0,0.0,0,
7,mike_neardark,ArcFace-R50,0.207,0.0,0.0,0.0,0,
8,mike_neardark,ArcFace-R50,0.225,0.0,0.0,0.0,0,
9,mike_neardark,ArcFace-R50,0.257,0.0,0.0,0.0,0,
10,mike_neardark,ArcFace-R50,0.277,0.0,0.0,0.0,0,
11,mike_neardark,ArcFace-R50,0.298,0.0,0.0,0.0,0,
12,mike_neardark,ArcFace-R50,0.318,0.0,0.0,0.0,0,
13,mike_neardark,ArcFace-R50,0.348,0.0,0.0,0.0,0,
14,mike_neardark,ArcFace-R50,0.367,0.0,0.0,0.0,0,
15,mike_neardark,ArcFace-R50,0.385,0.0,0.0,0.0,0,
16,mike_neardark,ArcFace-R50,0.405,0.0,0.0,0.0,0,
17,mike_neardark,ArcFace-R50,0.425,0.0,0.0,0.0,0,
18,mike_neardark,ArcFace-R50,0.456,0.0,0.0,0.0,0,
19,mike_neardark,ArcFace-R50,0.475,0.0,0.0,0.0,0,
20,mike_neardark,ArcFace-R50,0.495,384.22,21.19,362.43,1,Unknown;Unknown
21,mike_neardark,ArcFace-R50,0.533,384.22,21.19,362.43,1,Unknown;Unknown
22,mike_neardark,ArcFace-R50,0.553,384.22,21.19,362.43,1,Unknown;Unknown
23,mike_neardark,ArcFace-R50,0.575,384.22,21.19,362.43,1,Unknown;Unknown
24,mike_neardark,ArcFace-R50,0.593,384.22,21.19,362.43,1,Unknown;Unknown
25,mike_neardark,ArcFace-R50,0.624,384.22,21.19,362.43,1,Unknown;Unknown
26,mike_neardark,ArcFace-R50,0.642,384.22,21.19,362.43,1,Unknown;Unknown
27,mike_neardark,ArcFace-R50,0.674,384.22,21.19,362.43,1,Unknown;Unknown
28,mike_neardark,ArcFace-R50,0.693,384.22,21.19,362.43,1,Unknown;Unknown
29,mike_neardark,ArcFace-R50,0.725,384.22,21.19,362.43,1,Unknown;Unknown
30,mike_neardark,ArcFace-R50,0.745,384.22,21.19,362.43,1,Unknown;Unknown
31,mike_neardark,ArcFace-R50,0.763,384.22,21.19,362.43,1,Unknown;Unknown
32,mike_neardark,ArcFace-R50,0.784,384.22,21.19,362.43,1,Unknown;Unknown
33,mike_neardark,ArcFace-R50,0.814,384.22,21.19,362.43,1,Unknown;Unknown
34,mike_neardark,ArcFace-R50,0.833,384.22,21.19,362.43,1,Unknown;Unknown
35,mike_neardark,ArcFace-R50,0.852,384.22,21.19,362.43,1,Unknown;Unknown
36,mike_neardark,ArcFace-R50,0.872,384.22,21.19,362.43,1,Unknown;Unknown
37,mike_neardark,ArcFace-R50,0.891,384.22,21.19,362.43,1,Unknown;Unknown
38,mike_neardark,ArcFace-R50,0.91,384.22,21.19,362.43,1,Unknown;Unknown
39,mike_neardark,ArcFace-R50,0.94,408.38,13.89,394.5,1,Unknown;Unknown
40,mike_neardark,ArcFace-R50,0.958,408.38,13.89,394.5,1,Unknown;Unknown
41,mike_neardark,ArcFace-R50,0.992,408.38,13.89,394.5,1,Unknown;Unknown
42,mike_neardark,ArcFace-R50,1.01,408.38,13.89,394.5,1,Unknown;Unknown
43,mike_neardark,ArcFace-R50,1.041,408.38,13.89,394.5,1,Unknown;Unknown
44,mike_neardark,ArcFace-R50,1.061,408.38,13.89,394.5,1,Unknown;Unknown
45,mike_neardark,ArcFace-R50,1.08,408.38,13.89,394.5,1,Unknown;Unknown
46,mike_neardark,ArcFace-R50,1.11,408.38,13.89,394.5,1,Unknown;Unknown
47,mike_neardark,ArcFace-R50,1.13,408.38,13.89,394.5,1,Unknown;Unknown
48,mike_neardark,ArcFace-R50,1.147,408.38,13.89,394.5,1,Unknown;Unknown
49,mike_neardark,ArcFace-R50,1.179,408.38,13.89,394.5,1,Unknown;Unknown
50,mike_neardark,ArcFace-R50,1.198,408.38,13.89,394.5,1,Unknown;Unknown
51,mike_neardark,ArcFace-R50,1.228,408.38,13.89,394.5,1,Unknown;Unknown
52,mike_neardark,ArcFace-R50,1.246,408.38,13.89,394.5,1,Unknown;Unknown
53,mike_neardark,ArcFace-R50,1.277,408.38,13.89,394.5,1,Unknown;Unknown
54,mike_neardark,ArcFace-R50,1.295,408.38,13.89,394.5,1,Unknown;Unknown
55,mike_neardark,ArcFace-R50,1.325,408.38,13.89,394.5,1,Unknown;Unknown
56,mike_neardark,ArcFace-R50,1.343,408.38,13.89,394.5,1,Unknown;Unknown
57,mike_neardark,ArcFace-R50,1.364,408.38,13.89,394.5,1,Unknown;Unknown
58,mike_neardark,ArcFace-R50,1.382,408.38,13.89,394.5,1,Unknown;Unknown
59,mike_neardark,ArcFace-R50,1.412,408.38,13.89,394.5,1,Unknown;Unknown
60,mike_neardark,ArcFace-R50,1.443,408.38,13.89,394.5,1,Unknown;Unknown
61,mike_neardark,ArcFace-R50,1.462,408.38,13.89,394.5,1,Unknown;Unknown
62,mike_neardark,ArcFace-R50,1.482,408.38,13.89,394.5,1,Unknown;Unknown
63,mike_neardark,ArcFace-R50,1.513,408.38,13.89,394.5,1,Unknown;Unknown
64,mike_neardark,ArcFace-R50,1.531,408.38,13.89,394.5,1,Unknown;Unknown
65,mike_neardark,ArcFace-R50,1.555,408.38,13.89,394.5,1,Unknown;Unknown
66,mike_neardark,ArcFace-R50,1.572,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
67,mike_neardark,ArcFace-R50,1.602,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
68,mike_neardark,ArcFace-R50,1.623,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
69,mike_neardark,ArcFace-R50,1.652,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
70,mike_neardark,ArcFace-R50,1.683,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
71,mike_neardark,ArcFace-R50,1.702,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
72,mike_neardark,ArcFace-R50,1.723,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
73,mike_neardark,ArcFace-R50,1.752,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
74,mike_neardark,ArcFace-R50,1.773,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
75,mike_neardark,ArcFace-R50,1.792,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
76,mike_neardark,ArcFace-R50,1.823,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
77,mike_neardark,ArcFace-R50,1.842,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
78,mike_neardark,ArcFace-R50,1.86,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
79,mike_neardark,ArcFace-R50,1.88,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
80,mike_neardark,ArcFace-R50,1.9,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
81,mike_neardark,ArcFace-R50,1.92,556.57,11.57,545.0,1,Unknown;Unknown;Unknown
82,mike_neardark,ArcFace-R50,1.94,395.6,10.12,385.48,1,Unknown;Unknown
83,mike_neardark,ArcFace-R50,1.963,395.6,10.12,385.48,1,Unknown;Unknown
84,mike_neardark,ArcFace-R50,1.982,395.6,10.12,385.48,1,Unknown;Unknown
85,mike_neardark,ArcFace-R50,2.002,395.6,10.12,385.48,1,Unknown;Unknown
86,mike_neardark,ArcFace-R50,2.032,395.6,10.12,385.48,1,Unknown;Unknown
87,mike_neardark,ArcFace-R50,2.052,395.6,10.12,385.48,1,Unknown;Unknown
88,mike_neardark,ArcFace-R50,2.07,395.6,10.12,385.48,1,Unknown;Unknown
89,mike_neardark,ArcFace-R50,2.089,395.6,10.12,385.48,1,Unknown;Unknown
90,mike_neardark,ArcFace-R50,2.107,395.6,10.12,385.48,1,Unknown;Unknown
