frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_sidesun,ArcFace-R50,0.078,0.0,0.0,0.0,0,
2,mike_sidesun,ArcFace-R50,0.1,0.0,0.0,0.0,0,
3,mike_sidesun,ArcFace-R50,0.119,0.0,0.0,0.0,0,
4,mike_sidesun,ArcFace-R50,0.138,0.0,0.0,0.0,0,
5,mike_sidesun,ArcFace-R50,0.161,0.0,0.0,0.0,0,
6,mike_sidesun,ArcFace-R50,0.18,0.0,0.0,0.0,0,
7,mike_sidesun,ArcFace-R50,0.199,0.0,0.0,0.0,0,
8,mike_sidesun,ArcFace-R50,0.218,0.0,0.0,0.0,0,
9,mike_sidesun,ArcFace-R50,0.24,0.0,0.0,0.0,0,
10,mike_sidesun,ArcFace-R50,0.262,0.0,0.0,0.0,0,
11,mike_sidesun,ArcFace-R50,0.281,0.0,0.0,0.0,0,
12,mike_sidesun,ArcFace-R50,0.3,0.0,0.0,0.0,0,
13,mike_sidesun,ArcFace-R50,0.329,0.0,0.0,0.0,0,
14,mike_sidesun,ArcFace-R50,0.349,0.0,0.0,0.0,0,
15,mike_sidesun,ArcFace-R50,0.369,0.0,0.0,0.0,0,
16,mike_sidesun,ArcFace-R50,0.389,0.0,0.0,0.0,0,
17,mike_sidesun,ArcFace-R50,0.409,0.0,0.0,0.0,0,
18,mike_sidesun,ArcFace-R50,0.428,0.0,0.0,0.0,0,
19,mike_sidesun,ArcFace-R50,0.45,0.0,0.0,0.0,0,
20,mike_sidesun,ArcFace-R50,0.473,367.96,14.52,352.44,1,Mike;Unknown
21,mike_sidesun,ArcFace-R50,0.646,367.96,14.52,352.44,1,Mike;Unknown
22,mike_sidesun,ArcFace-R50,0.672,367.96,14.52,352.44,1,Mike;Unknown
23,mike_sidesun,ArcFace-R50,0.7,367.96,14.52,352.44,1,Mike;Unknown
24,mike_sidesun,ArcFace-R50,0.722,367.96,14.52,352.44,1,Mike;Unknown
25,mike_sidesun,ArcFace-R50,0.742,367.96,14.52,352.44,1,Mike;Unknown
26,mike_sidesun,ArcFace-R50,0.763,367.96,14.52,352.44,1,Mike;Unknown
27,mike_sidesun,ArcFace-R50,0.782,367.96,14.52,352.44,1,Mike;Unknown
28,mike_sidesun,ArcFace-R50,0.801,367.96,14.52,352.44,1,Mike;Unknown
29,mike_sidesun,ArcFace-R50,0.822,367.96,14.52,352.44,1,Mike;Unknown
30,mike_sidesun,ArcFace-R50,0.841,367.96,14.52,352.44,1,Mike;Unknown
31,mike_sidesun,ArcFace-R50,0.861,367.96,14.52,352.44,1,Mike;Unknown
32,mike_sidesun,ArcFace-R50,0.878,367.96,14.52,352.44,1,Mike;Unknown
33,mike_sidesun,ArcFace-R50,0.898,367.96,14.52,352.44,1,Mike;Unknown
34,mike_sidesun,ArcFace-R50,0.917,367.96,14.52,352.44,1,Mike;Unknown
35,mike_sidesun,ArcFace-R50,0.936,367.96,14.52,352.44,1,Mike;Unknown
36,mike_sidesun,ArcFace-R50,0.954,488.4,53.04,433.86,1,Mike;Unknown
37,mike_sidesun,ArcFace-R50,0.976,488.4,53.04,433.86,1,Mike;Unknown
38,mike_sidesun,ArcFace-R50,0.999,488.4,53.04,433.86,1,Mike;Unknown
39,mike_sidesun,ArcFace-R50,1.018,488.4,53.04,433.86,1,Mike;Unknown
40,mike_sidesun,ArcFace-R50,1.037,488.4,53.04,433.86,1,Mike;Unknown
41,mike_sidesun,ArcFace-R50,1.056,488.4,53.04,433.86,1,Mike;Unknown
42,mike_sidesun,ArcFace-R50,1.077,488.4,53.04,433.86,1,Mike;Unknown
43,mike_sidesun,ArcFace-R50,1.096,488.4,53.04,433.86,1,Mike;Unknown
44,mike_sidesun,ArcFace-R50,1.114,488.4,53.04,433.86,1,Mike;Unknown
45,mike_sidesun,ArcFace-R50,1.133,488.4,53.04,433.86,1,Mike;Unknown
46,mike_sidesun,ArcFace-R50,1.152,488.4,53.04,433.86,1,Mike;Unknown
47,mike_sidesun,ArcFace-R50,1.172,488.4,53.04,433.86,1,Mike;Unknown
48,mike_sidesun,ArcFace-R50,1.192,488.4,53.04,433.86,1,Mike;Unknown
49,mike_sidesun,ArcFace-R50,1.211,488.4,53.04,433.86,1,Mike;Unknown
50,mike_sidesun,ArcFace-R50,1.23,488.4,53.04,433.86,1,Mike;Unknown
51,mike_sidesun,ArcFace-R50,1.261,488.4,53.04,433.86,1,Mike;Unknown
52,mike_sidesun,ArcFace-R50,1.279,488.4,53.04,433.86,1,Mike;Unknown
53,mike_sidesun,ArcFace-R50,1.308,488.4,53.04,433.86,1,Mike;Unknown
54,mike_sidesun,ArcFace-R50,1.328,488.4,53.04,433.86,1,Mike;Unknown
55,mike_sidesun,ArcFace-R50,1.347,488.4,53.04,433.86,1,Mike;Unknown
56,mike_sidesun,ArcFace-R50,1.377,371.36,11.29,360.06,1,Mike;Unknown
57,mike_sidesun,ArcFace-R50,1.395,371.36,11.29,360.06,1,Mike;Unknown
58,mike_sidesun,ArcFace-R50,1.429,371.36,11.29,360.06,1,Mike;Unknown
59,mike_sidesun,ArcFace-R50,1.448,371.36,11.29,360.06,1,Mike;Unknown
60,mike_sidesun,ArcFace-R50,1.469,371.36,11.29,360.06,1,Mike;Unknown
61,mike_sidesun,ArcFace-R50,1.489,371.36,11.29,360.06,1,Mike;Unknown
62,mike_sidesun,ArcFace-R50,1.51,371.36,11.29,360.06,1,Mike;Unknown
63,mike_sidesun,ArcFace-R50,1.527,371.36,11.29,360.06,1,Mike;Unknown
64,mike_sidesun,ArcFace-R50,1.557,371.36,11.29,360.06,1,Mike;Unknown
65,mike_sidesun,ArcFace-R50,1.577,371.36,11.29,360.06,1,Mike;Unknown
66,mike_sidesun,ArcFace-R50,1.603,371.36,11.29,360.06,1,Mike;Unknown
67,mike_sidesun,ArcFace-R50,1.622,371.36,11.29,360.06,1,Mike;Unknown
68,mike_sidesun,ArcFace-R50,1.652,371.36,11.29,360.06,1,Mike;Unknown
69,mike_sidesun,ArcFace-R50,1.683,371.36,11.29,360.06,1,Mike;Unknown
70,mike_sidesun,ArcFace-R50,1.702,371.36,11.29,360.06,1,Mike;Unknown
71,mike_sidesun,ArcFace-R50,1.731,371.36,11.29,360.06,1,Mike;Unknown
72,mike_sidesun,ArcFace-R50,1.761,371.36,11.29,360.06,1,Mike;Unknown
73,mike_sidesun,ArcFace-R50,1.78,371.36,11.29,360.06,1,Mike;Unknown
74,mike_sidesun,ArcFace-R50,1.799,371.35,9.41,361.94,1,Unknown;Mike
75,mike_sidesun,ArcFace-R50,1.819,371.35,9.41,361.94,1,Unknown;Mike
76,mike_sidesun,ArcFace-R50,1.852,371.35,9.41,361.94,1,Unknown;Mike
77,mike_sidesun,ArcFace-R50,1.872,371.35,9.41,361.94,1,Unknown;Mike
78,mike_sidesun,ArcFace-R50,1.891,371.35,9.41,361.94,1,Unknown;Mike
79,mike_sidesun,ArcFace-R50,1.91,371.35,9.41,361.94,1,Unknown;Mike
80,mike_sidesun,ArcFace-R50,1.929,371.35,9.41,361.94,1,Unknown;Mike
81,mike_sidesun,ArcFace-R50,1.949,371.35,9.41,361.94,1,Unknown;Mike
82,mike_sidesun,ArcFace-R50,1.968,371.35,9.41,361.94,1,Unknown;Mike
83,mike_sidesun,ArcFace-R50,1.986,371.35,9.41,361.94,1,Unknown;Mike
84,mike_sidesun,ArcFace-R50,2.018,371.35,9.41,361.94,1,Unknown;Mike
85,mike_sidesun,ArcFace-R50,2.037,371.35,9.41,361.94,1,Unknown;Mike
86,mike_sidesun,ArcFace-R50,2.066,371.35,9.41,361.94,1,Unknown;Mike
87,mike_sidesun,ArcFace-R50,2.096,371.35,9.41,361.94,1,Unknown;Mike
88,mike_sidesun,ArcFace-R50,2.116,371.35,9.41,361.94,1,Unknown;Mike
89,mike_sidesun,ArcFace-R50,2.134,371.35,9.41,361.94,1,Unknown;Mike
90,mike_sidesun,ArcFace-R50,2.154,371.35,9.41,361.94,1,Unknown;Mike
91,mike_sidesun,ArcFace-R50,2.184,371.35,9.41,361.94,1,Unknown;Mike
92,mike_sidesun,ArcFace-R50,2.211,367.71,8.54,359.17,1,Unknown;Mike
93,mike_sidesun,ArcFace-R50,2.23,367.71,8.54,359.17,1,Unknown;Mike
94,mike_sidesun,ArcFace-R50,2.25,367.71,8.54,359.17,1,Unknown;Mike
95,mike_sidesun,ArcFace-R50,2.269,367.71,8.54,359.17,1,Unknown;Mike
96,mike_sidesun,ArcFace-R50,2.298,367.71,8.54,359.17,1,Unknown;Mike
97,mike_sidesun,ArcFace-R50,2.317,367.71,8.54,359.17,1,Unknown;Mike
98,mike_sidesun,ArcFace-R50,2.336,367.71,8.54,359.17,1,Unknown;Mike
99,mike_sidesun,ArcFace-R50,2.355,367.71,8.54,359.17,1,Unknown;Mike
100,mike_sidesun,ArcFace-R50,2.374,367.71,8.54,359.17,1,Unknown;Mike
101,mike_sidesun,ArcFace-R50,2.392,367.71,8.54,359.17,1,Unknown;Mike
102,mike_sidesun,ArcFace-R50,2.412,367.71,8.54,359.17,1,Unknown;Mike
103,mike_sidesun,ArcFace-R50,2.442,367.71,8.54,359.17,1,Unknown;Mike
104,mike_sidesun,ArcFace-R50,2.472,367.71,8.54,359.17,1,Unknown;Mike
105,mike_sidesun,ArcFace-R50,2.491,367.71,8.54,359.17,1,Unknown;Mike
106,mike_sidesun,ArcFace-R50,2.509,367.71,8.54,359.17,1,Unknown;Mike
107,mike_sidesun,ArcFace-R50,2.538,367.71,8.54,359.17,1,Unknown;Mike
108,mike_sidesun,ArcFace-R50,2.558,367.71,8.54,359.17,1,Unknown;Mike
109,mike_sidesun,ArcFace-R50,2.588,367.71,8.54,359.17,1,Unknown;Mike
110,mike_sidesun,ArcFace-R50,2.608,367.71,8.54,359.17,1,Unknown;Mike
111,mike_sidesun,ArcFace-R50,2.627,367.71,8.54,359.17,1,Unknown;Mike
112,mike_sidesun,ArcFace-R50,2.657,367.71,8.54,359.17,1,Unknown;Mike
113,mike_sidesun,ArcFace-R50,2.677,367.71,8.54,359.17,1,Unknown;Mike
114,mike_sidesun,ArcFace-R50,2.695,367.71,8.54,359.17,1,Unknown;Mike
115,mike_sidesun,ArcFace-R50,2.725,367.71,8.54,359.17,1,Unknown;Mike
116,mike_sidesun,ArcFace-R50,2.754,537.79,14.76,520.95,1,Unknown;Unknown;Mike
117,mike_sidesun,ArcFace-R50,2.773,537.79,14.76,520.95,1,Unknown;Unknown;Mike
118,mike_sidesun,ArcFace-R50,2.795,537.79,14.76,520.95,1,Unknown;Unknown;Mike
119,mike_sidesun,ArcFace-R50,2.814,537.79,14.76,520.95,1,Unknown;Unknown;Mike
120,mike_sidesun,ArcFace-R50,2.844,537.79,14.76,520.95,1,Unknown;Unknown;Mike
121,mike_sidesun,ArcFace-R50,2.863,537.79,14.76,520.95,1,Unknown;Unknown;Mike
122,mike_sidesun,ArcFace-R50,2.882,537.79,14.76,520.95,1,Unknown;Unknown;Mike
123,mike_sidesun,ArcFace-R50,2.901,537.79,14.76,520.95,1,Unknown;Unknown;Mike
124,mike_sidesun,ArcFace-R50,2.919,537.79,14.76,520.95,1,Unknown;Unknown;Mike
125,mike_sidesun,ArcFace-R50,2.949,537.79,14.76,520.95,1,Unknown;Unknown;Mike
126,mike_sidesun,ArcFace-R50,2.967,537.79,14.76,520.95,1,Unknown;Unknown;Mike
127,mike_sidesun,ArcFace-R50,2.987,537.79,14.76,520.95,1,Unknown;Unknown;Mike
128,mike_sidesun,ArcFace-R50,3.007,537.79,14.76,520.95,1,Unknown;Unknown;Mike
