frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_sunabove,ArcFace-R50,0.084,0.0,0.0,0.0,0,
2,mike_sunabove,ArcFace-R50,0.103,0.0,0.0,0.0,0,
3,mike_sunabove,ArcFace-R50,0.123,0.0,0.0,0.0,0,
4,mike_sunabove,ArcFace-R50,0.144,0.0,0.0,0.0,0,
5,mike_sunabove,ArcFace-R50,0.164,0.0,0.0,0.0,0,
6,mike_sunabove,ArcFace-R50,0.185,0.0,0.0,0.0,0,
7,mike_sunabove,ArcFace-R50,0.207,0.0,0.0,0.0,0,
8,mike_sunabove,ArcFace-R50,0.226,0.0,0.0,0.0,0,
9,mike_sunabove,ArcFace-R50,0.247,0.0,0.0,0.0,0,
10,mike_sunabove,ArcFace-R50,0.267,0.0,0.0,0.0,0,
11,mike_sunabove,ArcFace-R50,0.289,0.0,0.0,0.0,0,
12,mike_sunabove,ArcFace-R50,0.308,0.0,0.0,0.0,0,
13,mike_sunabove,ArcFace-R50,0.329,0.0,0.0,0.0,0,
14,mike_sunabove,ArcFace-R50,0.349,0.0,0.0,0.0,0,
15,mike_sunabove,ArcFace-R50,0.369,0.0,0.0,0.0,0,
16,mike_sunabove,ArcFace-R50,0.391,0.0,0.0,0.0,0,
17,mike_sunabove,ArcFace-R50,0.409,0.0,0.0,0.0,0,
18,mike_sunabove,ArcFace-R50,0.428,0.0,0.0,0.0,0,
19,mike_sunabove,ArcFace-R50,0.458,0.0,0.0,0.0,0,
20,mike_sunabove,ArcFace-R50,0.477,0.0,0.0,0.0,0,
21,mike_sunabove,ArcFace-R50,0.496,0.0,0.0,0.0,0,
22,mike_sunabove,ArcFace-R50,0.516,0.0,0.0,0.0,0,
23,mike_sunabove,ArcFace-R50,0.534,0.0,0.0,0.0,0,
24,mike_sunabove,ArcFace-R50,0.555,0.0,0.0,0.0,0,
25,mike_sunabove,ArcFace-R50,0.575,0.0,0.0,0.0,0,
