frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_extremesidelight,ArcFace-R50,0.082,0.0,0.0,0.0,0,
2,rohan_extremesidelight,ArcFace-R50,0.103,0.0,0.0,0.0,0,
3,rohan_extremesidelight,ArcFace-R50,0.125,0.0,0.0,0.0,0,
4,rohan_extremesidelight,ArcFace-R50,0.156,0.0,0.0,0.0,0,
5,rohan_extremesidelight,ArcFace-R50,0.174,0.0,0.0,0.0,0,
6,rohan_extremesidelight,ArcFace-R50,0.192,0.0,0.0,0.0,0,
7,rohan_extremesidelight,ArcFace-R50,0.21,0.0,0.0,0.0,0,
8,rohan_extremesidelight,ArcFace-R50,0.231,0.0,0.0,0.0,0,
9,rohan_extremesidelight,ArcFace-R50,0.25,0.0,0.0,0.0,0,
10,rohan_extremesidelight,ArcFace-R50,0.271,0.0,0.0,0.0,0,
11,rohan_extremesidelight,ArcFace-R50,0.292,0.0,0.0,0.0,0,
12,rohan_extremesidelight,ArcFace-R50,0.311,0.0,0.0,0.0,0,
13,rohan_extremesidelight,ArcFace-R50,0.331,0.0,0.0,0.0,0,
14,rohan_extremesidelight,ArcFace-R50,0.35,0.0,0.0,0.0,0,
15,rohan_extremesidelight,ArcFace-R50,0.371,0.0,0.0,0.0,0,
16,rohan_extremesidelight,ArcFace-R50,0.389,0.0,0.0,0.0,0,
17,rohan_extremesidelight,ArcFace-R50,0.407,0.0,0.0,0.0,0,
18,rohan_extremesidelight,ArcFace-R50,0.426,0.0,0.0,0.0,0,
19,rohan_extremesidelight,ArcFace-R50,0.445,0.0,0.0,0.0,0,
20,rohan_extremesidelight,ArcFace-R50,0.474,0.0,0.0,0.0,0,
21,rohan_extremesidelight,ArcFace-R50,0.492,0.0,0.0,0.0,0,
22,rohan_extremesidelight,ArcFace-R50,0.522,0.0,0.0,0.0,0,
23,rohan_extremesidelight,ArcFace-R50,0.544,441.79,17.16,423.62,1,Unknown;Unknown
24,rohan_extremesidelight,ArcFace-R50,0.574,441.79,17.16,423.62,1,Unknown;Unknown
25,rohan_extremesidelight,ArcFace-R50,0.593,441.79,17.16,423.62,1,Unknown;Unknown
26,rohan_extremesidelight,ArcFace-R50,0.612,441.79,17.16,423.62,1,Unknown;Unknown
27,rohan_extremesidelight,ArcFace-R50,0.631,441.79,17.16,423.62,1,Unknown;Unknown
28,rohan_extremesidelight,ArcFace-R50,0.65,441.79,17.16,423.62,1,Unknown;Unknown
29,rohan_extremesidelight,ArcFace-R50,0.67,441.79,17.16,423.62,1,Unknown;Unknown
30,rohan_extremesidelight,ArcFace-R50,0.701,441.79,17.16,423.62,1,Unknown;Unknown
31,rohan_extremesidelight,ArcFace-R50,0.72,441.79,17.16,423.62,1,Unknown;Unknown
32,rohan_extremesidelight,ArcFace-R50,0.74,441.79,17.16,423.62,1,Unknown;Unknown
33,rohan_extremesidelight,ArcFace-R50,0.759,441.79,17.16,423.62,1,Unknown;Unknown
34,rohan_extremesidelight,ArcFace-R50,0.778,441.79,17.16,423.62,1,Unknown;Unknown
35,rohan_extremesidelight,ArcFace-R50,0.797,441.79,17.16,423.62,1,Unknown;Unknown
36,rohan_extremesidelight,ArcFace-R50,0.818,441.79,17.16,423.62,1,Unknown;Unknown
37,rohan_extremesidelight,ArcFace-R50,0.839,441.79,17.16,423.62,1,Unknown;Unknown
38,rohan_extremesidelight,ArcFace-R50,0.859,441.79,17.16,423.62,1,Unknown;Unknown
39,rohan_extremesidelight,ArcFace-R50,0.878,441.79,17.16,423.62,1,Unknown;Unknown
40,rohan_extremesidelight,ArcFace-R50,0.896,441.79,17.16,423.62,1,Unknown;Unknown
41,rohan_extremesidelight,ArcFace-R50,0.915,441.79,17.16,423.62,1,Unknown;Unknown
42,rohan_extremesidelight,ArcFace-R50,0.934,441.79,17.16,423.62,1,Unknown;Unknown
43,rohan_extremesidelight,ArcFace-R50,0.956,441.79,17.16,423.62,1,Unknown;Unknown
44,rohan_extremesidelight,ArcFace-R50,0.976,441.79,17.16,423.62,1,Unknown;Unknown
45,rohan_extremesidelight,ArcFace-R50,0.995,441.79,17.16,423.62,1,Unknown;Unknown
