frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_lowcontrst,ArcFace-R50,0.087,0.0,0.0,0.0,0,
2,rohan_lowcontrst,ArcFace-R50,0.106,0.0,0.0,0.0,0,
3,rohan_lowcontrst,ArcFace-R50,0.125,0.0,0.0,0.0,0,
4,rohan_lowcontrst,ArcFace-R50,0.146,0.0,0.0,0.0,0,
5,rohan_lowcontrst,ArcFace-R50,0.17,0.0,0.0,0.0,0,
6,rohan_lowcontrst,ArcFace-R50,0.19,0.0,0.0,0.0,0,
7,rohan_lowcontrst,ArcFace-R50,0.21,0.0,0.0,0.0,0,
8,rohan_lowcontrst,ArcFace-R50,0.23,0.0,0.0,0.0,0,
9,rohan_lowcontrst,ArcFace-R50,0.251,0.0,0.0,0.0,0,
10,rohan_lowcontrst,ArcFace-R50,0.272,0.0,0.0,0.0,0,
11,rohan_lowcontrst,ArcFace-R50,0.291,0.0,0.0,0.0,0,
12,rohan_lowcontrst,ArcFace-R50,0.31,0.0,0.0,0.0,0,
13,rohan_lowcontrst,ArcFace-R50,0.331,0.0,0.0,0.0,0,
14,rohan_lowcontrst,ArcFace-R50,0.353,0.0,0.0,0.0,0,
15,rohan_lowcontrst,ArcFace-R50,0.374,0.0,0.0,0.0,0,
16,rohan_lowcontrst,ArcFace-R50,0.394,0.0,0.0,0.0,0,
17,rohan_lowcontrst,ArcFace-R50,0.412,0.0,0.0,0.0,0,
18,rohan_lowcontrst,ArcFace-R50,0.431,328.94,16.05,312.38,1,Unknown;Unknown
19,rohan_lowcontrst,ArcFace-R50,0.462,328.94,16.05,312.38,1,Unknown;Unknown
20,rohan_lowcontrst,ArcFace-R50,0.488,328.94,16.05,312.38,1,Unknown;Unknown
21,rohan_lowcontrst,ArcFace-R50,0.506,328.94,16.05,312.38,1,Unknown;Unknown
22,rohan_lowcontrst,ArcFace-R50,0.525,328.94,16.05,312.38,1,Unknown;Unknown
23,rohan_lowcontrst,ArcFace-R50,0.546,328.94,16.05,312.38,1,Unknown;Unknown
24,rohan_lowcontrst,ArcFace-R50,0.565,328.94,16.05,312.38,1,Unknown;Unknown
25,rohan_lowcontrst,ArcFace-R50,0.586,328.94,16.05,312.38,1,Unknown;Unknown
26,rohan_lowcontrst,ArcFace-R50,0.605,328.94,16.05,312.38,1,Unknown;Unknown
27,rohan_lowcontrst,ArcFace-R50,0.624,328.94,16.05,312.38,1,Unknown;Unknown
28,rohan_lowcontrst,ArcFace-R50,0.644,328.94,16.05,312.38,1,Unknown;Unknown
29,rohan_lowcontrst,ArcFace-R50,0.665,328.94,16.05,312.38,1,Unknown;Unknown
30,rohan_lowcontrst,ArcFace-R50,0.683,328.94,16.05,312.38,1,Unknown;Unknown
31,rohan_lowcontrst,ArcFace-R50,0.703,328.94,16.05,312.38,1,Unknown;Unknown
32,rohan_lowcontrst,ArcFace-R50,0.724,328.94,16.05,312.38,1,Unknown;Unknown
33,rohan_lowcontrst,ArcFace-R50,0.743,328.94,16.05,312.38,1,Unknown;Unknown
34,rohan_lowcontrst,ArcFace-R50,0.763,328.94,16.05,312.38,1,Unknown;Unknown
35,rohan_lowcontrst,ArcFace-R50,0.783,328.94,16.05,312.38,1,Unknown;Unknown
36,rohan_lowcontrst,ArcFace-R50,0.803,328.94,16.05,312.38,1,Unknown;Unknown
37,rohan_lowcontrst,ArcFace-R50,0.834,328.94,16.05,312.38,1,Unknown;Unknown
38,rohan_lowcontrst,ArcFace-R50,0.854,328.94,16.05,312.38,1,Unknown;Unknown
39,rohan_lowcontrst,ArcFace-R50,0.872,387.94,9.06,376.37,1,Unknown;Unknown
40,rohan_lowcontrst,ArcFace-R50,0.891,387.94,9.06,376.37,1,Unknown;Unknown
41,rohan_lowcontrst,ArcFace-R50,0.913,387.94,9.06,376.37,1,Unknown;Unknown
42,rohan_lowcontrst,ArcFace-R50,0.932,387.94,9.06,376.37,1,Unknown;Unknown
43,rohan_lowcontrst,ArcFace-R50,0.952,387.94,9.06,376.37,1,Unknown;Unknown
44,rohan_lowcontrst,ArcFace-R50,0.971,387.94,9.06,376.37,1,Unknown;Unknown
45,rohan_lowcontrst,ArcFace-R50,0.99,387.94,9.06,376.37,1,Unknown;Unknown
46,rohan_lowcontrst,ArcFace-R50,1.009,387.94,9.06,376.37,1,Unknown;Unknown
47,rohan_lowcontrst,ArcFace-R50,1.039,387.94,9.06,376.37,1,Unknown;Unknown
48,rohan_lowcontrst,ArcFace-R50,1.07,387.94,9.06,376.37,1,Unknown;Unknown
49,rohan_lowcontrst,ArcFace-R50,1.1,387.94,9.06,376.37,1,Unknown;Unknown
50,rohan_lowcontrst,ArcFace-R50,1.121,387.94,9.06,376.37,1,Unknown;Unknown
51,rohan_lowcontrst,ArcFace-R50,1.14,387.94,9.06,376.37,1,Unknown;Unknown
52,rohan_lowcontrst,ArcFace-R50,1.159,387.94,9.06,376.37,1,Unknown;Unknown
53,rohan_lowcontrst,ArcFace-R50,1.178,387.94,9.06,376.37,1,Unknown;Unknown
54,rohan_lowcontrst,ArcFace-R50,1.197,387.94,9.06,376.37,1,Unknown;Unknown
55,rohan_lowcontrst,ArcFace-R50,1.216,387.94,9.06,376.37,1,Unknown;Unknown
56,rohan_lowcontrst,ArcFace-R50,1.235,387.94,9.06,376.37,1,Unknown;Unknown
57,rohan_lowcontrst,ArcFace-R50,1.254,387.94,9.06,376.37,1,Unknown;Unknown
58,rohan_lowcontrst,ArcFace-R50,1.273,387.94,9.06,376.37,1,Unknown;Unknown
59,rohan_lowcontrst,ArcFace-R50,1.297,381.79,9.09,371.39,1,Unknown;Unknown
60,rohan_lowcontrst,ArcFace-R50,1.316,381.79,9.09,371.39,1,Unknown;Unknown
61,rohan_lowcontrst,ArcFace-R50,1.334,381.79,9.09,371.39,1,Unknown;Unknown
62,rohan_lowcontrst,ArcFace-R50,1.354,381.79,9.09,371.39,1,Unknown;Unknown
63,rohan_lowcontrst,ArcFace-R50,1.383,381.79,9.09,371.39,1,Unknown;Unknown
64,rohan_lowcontrst,ArcFace-R50,1.403,381.79,9.09,371.39,1,Unknown;Unknown
65,rohan_lowcontrst,ArcFace-R50,1.422,381.79,9.09,371.39,1,Unknown;Unknown
