frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_neardark,ArcFace-R50,0.085,0.0,0.0,0.0,0,
2,rohan_neardark,ArcFace-R50,0.108,0.0,0.0,0.0,0,
3,rohan_neardark,ArcFace-R50,0.129,0.0,0.0,0.0,0,
4,rohan_neardark,ArcFace-R50,0.151,0.0,0.0,0.0,0,
5,rohan_neardark,ArcFace-R50,0.17,0.0,0.0,0.0,0,
6,rohan_neardark,ArcFace-R50,0.188,0.0,0.0,0.0,0,
7,rohan_neardark,ArcFace-R50,0.206,0.0,0.0,0.0,0,
8,rohan_neardark,ArcFace-R50,0.225,0.0,0.0,0.0,0,
9,rohan_neardark,ArcFace-R50,0.245,0.0,0.0,0.0,0,
10,rohan_neardark,ArcFace-R50,0.266,0.0,0.0,0.0,0,
11,rohan_neardark,ArcFace-R50,0.287,0.0,0.0,0.0,0,
12,rohan_neardark,ArcFace-R50,0.306,0.0,0.0,0.0,0,
13,rohan_neardark,ArcFace-R50,0.325,0.0,0.0,0.0,0,
14,rohan_neardark,ArcFace-R50,0.344,0.0,0.0,0.0,0,
15,rohan_neardark,ArcFace-R50,0.367,0.0,0.0,0.0,0,
16,rohan_neardark,ArcFace-R50,0.387,0.0,0.0,0.0,0,
17,rohan_neardark,ArcFace-R50,0.407,0.0,0.0,0.0,0,
18,rohan_neardark,ArcFace-R50,0.426,0.0,0.0,0.0,0,
19,rohan_neardark,ArcFace-R50,0.447,0.0,0.0,0.0,0,
20,rohan_neardark,ArcFace-R50,0.466,0.0,0.0,0.0,0,
21,rohan_neardark,ArcFace-R50,0.488,378.68,19.84,358.84,1,Unknown;Unknown
22,rohan_neardark,ArcFace-R50,0.519,378.68,19.84,358.84,1,Unknown;Unknown
23,rohan_neardark,ArcFace-R50,0.541,378.68,19.84,358.84,1,Unknown;Unknown
24,rohan_neardark,ArcFace-R50,0.56,378.68,19.84,358.84,1,Unknown;Unknown
25,rohan_neardark,ArcFace-R50,0.58,378.68,19.84,358.84,1,Unknown;Unknown
26,rohan_neardark,ArcFace-R50,0.599,378.68,19.84,358.84,1,Unknown;Unknown
27,rohan_neardark,ArcFace-R50,0.617,378.68,19.84,358.84,1,Unknown;Unknown
28,rohan_neardark,ArcFace-R50,0.638,378.68,19.84,358.84,1,Unknown;Unknown
29,rohan_neardark,ArcFace-R50,0.657,378.68,19.84,358.84,1,Unknown;Unknown
30,rohan_neardark,ArcFace-R50,0.675,378.68,19.84,358.84,1,Unknown;Unknown
31,rohan_neardark,ArcFace-R50,0.695,378.68,19.84,358.84,1,Unknown;Unknown
32,rohan_neardark,ArcFace-R50,0.714,378.68,19.84,358.84,1,Unknown;Unknown
33,rohan_neardark,ArcFace-R50,0.733,378.68,19.84,358.84,1,Unknown;Unknown
34,rohan_neardark,ArcFace-R50,0.752,378.68,19.84,358.84,1,Unknown;Unknown
35,rohan_neardark,ArcFace-R50,0.771,378.68,19.84,358.84,1,Unknown;Unknown
36,rohan_neardark,ArcFace-R50,0.801,378.68,19.84,358.84,1,Unknown;Unknown
37,rohan_neardark,ArcFace-R50,0.82,378.68,19.84,358.84,1,Unknown;Unknown
38,rohan_neardark,ArcFace-R50,0.839,378.68,19.84,358.84,1,Unknown;Unknown
39,rohan_neardark,ArcFace-R50,0.857,378.68,19.84,358.84,1,Unknown;Unknown
40,rohan_neardark,ArcFace-R50,0.879,378.68,19.84,358.84,1,Unknown;Unknown
41,rohan_neardark,ArcFace-R50,0.899,378.68,19.84,358.84,1,Unknown;Unknown
42,rohan_neardark,ArcFace-R50,0.917,378.68,19.84,358.84,1,Unknown;Unknown
43,rohan_neardark,ArcFace-R50,0.937,378.68,19.84,358.84,1,Unknown;Unknown
44,rohan_neardark,ArcFace-R50,0.959,378.68,19.84,358.84,1,Unknown;Unknown
45,rohan_neardark,ArcFace-R50,0.98,425.68,9.98,415.18,1,Unknown;Unknown
