frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_sunabove,ArcFace-R50,0.086,0.0,0.0,0.0,0,
2,rohan_sunabove,ArcFace-R50,0.106,0.0,0.0,0.0,0,
3,rohan_sunabove,ArcFace-R50,0.127,0.0,0.0,0.0,0,
4,rohan_sunabove,ArcFace-R50,0.148,0.0,0.0,0.0,0,
5,rohan_sunabove,ArcFace-R50,0.167,0.0,0.0,0.0,0,
6,rohan_sunabove,ArcFace-R50,0.187,0.0,0.0,0.0,0,
7,rohan_sunabove,ArcFace-R50,0.206,0.0,0.0,0.0,0,
8,rohan_sunabove,ArcFace-R50,0.228,0.0,0.0,0.0,0,
9,rohan_sunabove,ArcFace-R50,0.246,0.0,0.0,0.0,0,
10,rohan_sunabove,ArcFace-R50,0.266,0.0,0.0,0.0,0,
11,rohan_sunabove,ArcFace-R50,0.286,0.0,0.0,0.0,0,
12,rohan_sunabove,ArcFace-R50,0.305,0.0,0.0,0.0,0,
13,rohan_sunabove,ArcFace-R50,0.322,0.0,0.0,0.0,0,
14,rohan_sunabove,ArcFace-R50,0.343,0.0,0.0,0.0,0,
15,rohan_sunabove,ArcFace-R50,0.361,0.0,0.0,0.0,0,
16,rohan_sunabove,ArcFace-R50,0.381,0.0,0.0,0.0,0,
17,rohan_sunabove,ArcFace-R50,0.402,0.0,0.0,0.0,0,
18,rohan_sunabove,ArcFace-R50,0.421,0.0,0.0,0.0,0,
19,rohan_sunabove,ArcFace-R50,0.44,0.0,0.0,0.0,0,
20,rohan_sunabove,ArcFace-R50,0.46,345.02,15.92,329.1,1,Unknown;Unknown
21,rohan_sunabove,ArcFace-R50,0.496,345.02,15.92,329.1,1,Unknown;Unknown
22,rohan_sunabove,ArcFace-R50,0.517,345.02,15.92,329.1,1,Unknown;Unknown
23,rohan_sunabove,ArcFace-R50,0.546,345.02,15.92,329.1,1,Unknown;Unknown
24,rohan_sunabove,ArcFace-R50,0.566,345.02,15.92,329.1,1,Unknown;Unknown
25,rohan_sunabove,ArcFace-R50,0.586,345.02,15.92,329.1,1,Unknown;Unknown
26,rohan_sunabove,ArcFace-R50,0.604,345.02,15.92,329.1,1,Unknown;Unknown
27,rohan_sunabove,ArcFace-R50,0.623,345.02,15.92,329.1,1,Unknown;Unknown
