frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_sunside,ArcFace-R50,0.1,0.0,0.0,0.0,0,
2,rohan_sunside,ArcFace-R50,0.129,0.0,0.0,0.0,0,
3,rohan_sunside,ArcFace-R50,0.149,0.0,0.0,0.0,0,
4,rohan_sunside,ArcFace-R50,0.172,0.0,0.0,0.0,0,
5,rohan_sunside,ArcFace-R50,0.194,0.0,0.0,0.0,0,
6,rohan_sunside,ArcFace-R50,0.212,0.0,0.0,0.0,0,
7,rohan_sunside,ArcFace-R50,0.231,0.0,0.0,0.0,0,
8,rohan_sunside,ArcFace-R50,0.253,0.0,0.0,0.0,0,
9,rohan_sunside,ArcFace-R50,0.272,0.0,0.0,0.0,0,
10,rohan_sunside,ArcFace-R50,0.294,0.0,0.0,0.0,0,
11,rohan_sunside,ArcFace-R50,0.315,0.0,0.0,0.0,0,
12,rohan_sunside,ArcFace-R50,0.336,0.0,0.0,0.0,0,
13,rohan_sunside,ArcFace-R50,0.358,0.0,0.0,0.0,0,
14,rohan_sunside,ArcFace-R50,0.378,0.0,0.0,0.0,0,
15,rohan_sunside,ArcFace-R50,0.397,0.0,0.0,0.0,0,
16,rohan_sunside,ArcFace-R50,0.417,0.0,0.0,0.0,0,
17,rohan_sunside,ArcFace-R50,0.437,0.0,0.0,0.0,0,
18,rohan_sunside,ArcFace-R50,0.457,0.0,0.0,0.0,0,
19,rohan_sunside,ArcFace-R50,0.478,0.0,0.0,0.0,0,
20,rohan_sunside,ArcFace-R50,0.497,0.0,0.0,0.0,0,
21,rohan_sunside,ArcFace-R50,0.517,0.0,0.0,0.0,0,
22,rohan_sunside,ArcFace-R50,0.539,0.0,0.0,0.0,0,
23,rohan_sunside,ArcFace-R50,0.561,0.0,0.0,0.0,0,
24,rohan_sunside,ArcFace-R50,0.583,0.0,0.0,0.0,0,
25,rohan_sunside,ArcFace-R50,0.603,0.0,0.0,0.0,0,
26,rohan_sunside,ArcFace-R50,0.622,0.0,0.0,0.0,0,
27,rohan_sunside,ArcFace-R50,0.644,0.0,0.0,0.0,0,
28,rohan_sunside,ArcFace-R50,0.664,0.0,0.0,0.0,0,
29,rohan_sunside,ArcFace-R50,0.684,0.0,0.0,0.0,0,
30,rohan_sunside,ArcFace-R50,0.702,0.0,0.0,0.0,0,
31,rohan_sunside,ArcFace-R50,0.723,0.0,0.0,0.0,0,
32,rohan_sunside,ArcFace-R50,0.742,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
33,rohan_sunside,ArcFace-R50,0.909,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
34,rohan_sunside,ArcFace-R50,0.933,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
35,rohan_sunside,ArcFace-R50,0.953,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
36,rohan_sunside,ArcFace-R50,0.973,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
37,rohan_sunside,ArcFace-R50,0.993,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
38,rohan_sunside,ArcFace-R50,1.013,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
39,rohan_sunside,ArcFace-R50,1.032,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
40,rohan_sunside,ArcFace-R50,1.052,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
41,rohan_sunside,ArcFace-R50,1.082,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
42,rohan_sunside,ArcFace-R50,1.101,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
43,rohan_sunside,ArcFace-R50,1.12,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
44,rohan_sunside,ArcFace-R50,1.138,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
45,rohan_sunside,ArcFace-R50,1.166,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
46,rohan_sunside,ArcFace-R50,1.186,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
47,rohan_sunside,ArcFace-R50,1.205,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
48,rohan_sunside,ArcFace-R50,1.224,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
49,rohan_sunside,ArcFace-R50,1.244,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
50,rohan_sunside,ArcFace-R50,1.262,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
51,rohan_sunside,ArcFace-R50,1.282,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
52,rohan_sunside,ArcFace-R50,1.301,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
53,rohan_sunside,ArcFace-R50,1.331,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
54,rohan_sunside,ArcFace-R50,1.362,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
55,rohan_sunside,ArcFace-R50,1.382,627.96,22.76,605.2,1,Unknown;Unknown;Rohan
56,rohan_sunside,ArcFace-R50,1.406,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
57,rohan_sunside,ArcFace-R50,1.428,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
58,rohan_sunside,ArcFace-R50,1.448,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
59,rohan_sunside,ArcFace-R50,1.467,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
60,rohan_sunside,ArcFace-R50,1.487,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
61,rohan_sunside,ArcFace-R50,1.506,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
62,rohan_sunside,ArcFace-R50,1.526,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
63,rohan_sunside,ArcFace-R50,1.546,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
64,rohan_sunside,ArcFace-R50,1.567,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
65,rohan_sunside,ArcFace-R50,1.587,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
66,rohan_sunside,ArcFace-R50,1.606,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
67,rohan_sunside,ArcFace-R50,1.628,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
68,rohan_sunside,ArcFace-R50,1.648,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
69,rohan_sunside,ArcFace-R50,1.666,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
70,rohan_sunside,ArcFace-R50,1.687,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
71,rohan_sunside,ArcFace-R50,1.706,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
72,rohan_sunside,ArcFace-R50,1.727,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
73,rohan_sunside,ArcFace-R50,1.748,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
74,rohan_sunside,ArcFace-R50,1.766,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
75,rohan_sunside,ArcFace-R50,1.786,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
76,rohan_sunside,ArcFace-R50,1.805,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
77,rohan_sunside,ArcFace-R50,1.825,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
78,rohan_sunside,ArcFace-R50,1.845,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
79,rohan_sunside,ArcFace-R50,1.863,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
80,rohan_sunside,ArcFace-R50,1.884,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
81,rohan_sunside,ArcFace-R50,1.902,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
82,rohan_sunside,ArcFace-R50,1.932,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
83,rohan_sunside,ArcFace-R50,1.962,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
84,rohan_sunside,ArcFace-R50,1.986,565.78,55.85,508.43,1,Unknown;Unknown;Rohan
85,rohan_sunside,ArcFace-R50,2.004,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
86,rohan_sunside,ArcFace-R50,2.023,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
87,rohan_sunside,ArcFace-R50,2.043,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
88,rohan_sunside,ArcFace-R50,2.073,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
89,rohan_sunside,ArcFace-R50,2.091,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
90,rohan_sunside,ArcFace-R50,2.112,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
91,rohan_sunside,ArcFace-R50,2.13,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
92,rohan_sunside,ArcFace-R50,2.15,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
93,rohan_sunside,ArcFace-R50,2.181,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
94,rohan_sunside,ArcFace-R50,2.205,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
95,rohan_sunside,ArcFace-R50,2.226,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
96,rohan_sunside,ArcFace-R50,2.245,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
97,rohan_sunside,ArcFace-R50,2.264,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
98,rohan_sunside,ArcFace-R50,2.293,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
99,rohan_sunside,ArcFace-R50,2.313,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
100,rohan_sunside,ArcFace-R50,2.333,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
101,rohan_sunside,ArcFace-R50,2.362,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
102,rohan_sunside,ArcFace-R50,2.382,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
103,rohan_sunside,ArcFace-R50,2.401,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
104,rohan_sunside,ArcFace-R50,2.422,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
105,rohan_sunside,ArcFace-R50,2.44,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
106,rohan_sunside,ArcFace-R50,2.459,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
107,rohan_sunside,ArcFace-R50,2.479,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
108,rohan_sunside,ArcFace-R50,2.499,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
109,rohan_sunside,ArcFace-R50,2.518,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
110,rohan_sunside,ArcFace-R50,2.536,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
111,rohan_sunside,ArcFace-R50,2.556,578.4,10.32,567.07,1,Unknown;Unknown;Rohan
112,rohan_sunside,ArcFace-R50,2.58,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
113,rohan_sunside,ArcFace-R50,2.601,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
114,rohan_sunside,ArcFace-R50,2.619,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
115,rohan_sunside,ArcFace-R50,2.638,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
116,rohan_sunside,ArcFace-R50,2.658,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
117,rohan_sunside,ArcFace-R50,2.676,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
118,rohan_sunside,ArcFace-R50,2.696,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
119,rohan_sunside,ArcFace-R50,2.725,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
120,rohan_sunside,ArcFace-R50,2.743,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
121,rohan_sunside,ArcFace-R50,2.773,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
122,rohan_sunside,ArcFace-R50,2.795,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
123,rohan_sunside,ArcFace-R50,2.814,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
124,rohan_sunside,ArcFace-R50,2.833,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
125,rohan_sunside,ArcFace-R50,2.852,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
126,rohan_sunside,ArcFace-R50,2.871,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
127,rohan_sunside,ArcFace-R50,2.89,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
128,rohan_sunside,ArcFace-R50,2.908,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
129,rohan_sunside,ArcFace-R50,2.928,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
130,rohan_sunside,ArcFace-R50,2.946,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
131,rohan_sunside,ArcFace-R50,2.966,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
132,rohan_sunside,ArcFace-R50,2.987,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
133,rohan_sunside,ArcFace-R50,3.006,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
134,rohan_sunside,ArcFace-R50,3.024,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
135,rohan_sunside,ArcFace-R50,3.043,590.88,10.18,579.18,1,Unknown;Unknown;Rohan
