frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,buthaina_2m,MobileFaceNet,0.21,0.0,0.0,0.0,0,
2,buthaina_2m,MobileFaceNet,0.243,0.0,0.0,0.0,0,
3,buthaina_2m,MobileFaceNet,0.273,0.0,0.0,0.0,0,
4,buthaina_2m,MobileFaceNet,0.313,0.0,0.0,0.0,0,
5,buthaina_2m,MobileFaceNet,0.358,0.0,0.0,0.0,0,
6,buthaina_2m,MobileFaceNet,0.403,0.0,0.0,0.0,0,
7,buthaina_2m,MobileFaceNet,0.448,0.0,0.0,0.0,0,
8,buthaina_2m,MobileFaceNet,0.491,0.0,0.0,0.0,0,
9,buthaina_2m,MobileFaceNet,0.525,0.0,0.0,0.0,0,
10,buthaina_2m,MobileFaceNet,0.573,0.0,0.0,0.0,0,
11,buthaina_2m,MobileFaceNet,0.606,0.0,0.0,0.0,0,
12,buthaina_2m,MobileFaceNet,0.649,0.0,0.0,0.0,0,
13,buthaina_2m,MobileFaceNet,0.691,0.0,0.0,0.0,0,
14,buthaina_2m,MobileFaceNet,0.733,0.0,0.0,0.0,0,
15,buthaina_2m,MobileFaceNet,0.776,0.0,0.0,0.0,0,
16,buthaina_2m,MobileFaceNet,0.822,0.0,0.0,0.0,0,
17,buthaina_2m,MobileFaceNet,0.864,0.0,0.0,0.0,0,
18,buthaina_2m,MobileFaceNet,0.898,0.0,0.0,0.0,0,
19,buthaina_2m,MobileFaceNet,0.937,0.0,0.0,0.0,0,
20,buthaina_2m,MobileFaceNet,0.976,0.0,0.0,0.0,0,
21,buthaina_2m,MobileFaceNet,1.02,0.0,0.0,0.0,0,
22,buthaina_2m,MobileFaceNet,1.08,0.0,0.0,0.0,0,
23,buthaina_2m,MobileFaceNet,1.096,0.0,0.0,0.0,0,
24,buthaina_2m,MobileFaceNet,1.151,45.68,21.24,0.0,0,
25,buthaina_2m,MobileFaceNet,1.179,61.18,14.11,0.0,0,
26,buthaina_2m,MobileFaceNet,1.22,61.18,14.11,0.0,0,
27,buthaina_2m,MobileFaceNet,1.275,61.18,14.11,0.0,0,
28,buthaina_2m,MobileFaceNet,1.308,13.23,10.19,0.0,0,
29,buthaina_2m,MobileFaceNet,1.348,13.23,10.19,0.0,0,
30,buthaina_2m,MobileFaceNet,1.402,15.86,10.94,0.0,0,
31,buthaina_2m,MobileFaceNet,1.438,13.22,10.71,0.0,0,
32,buthaina_2m,MobileFaceNet,1.467,13.22,10.71,0.0,0,
33,buthaina_2m,MobileFaceNet,1.52,12.57,10.05,0.0,0,
34,buthaina_2m,MobileFaceNet,1.559,12.57,10.05,0.0,0,
35,buthaina_2m,MobileFaceNet,1.588,12.57,10.05,0.0,0,
36,buthaina_2m,MobileFaceNet,1.624,57.06,9.56,0.0,0,
37,buthaina_2m,MobileFaceNet,1.674,14.64,13.63,0.0,0,
38,buthaina_2m,MobileFaceNet,1.715,14.01,10.5,0.0,0,
39,buthaina_2m,MobileFaceNet,1.753,12.36,8.84,0.0,0,
40,buthaina_2m,MobileFaceNet,1.793,12.07,11.07,0.0,0,
41,buthaina_2m,MobileFaceNet,1.832,11.07,9.57,0.0,0,
42,buthaina_2m,MobileFaceNet,1.871,11.07,9.57,0.0,0,
43,buthaina_2m,MobileFaceNet,1.908,38.88,11.63,22.11,1,Unknown
44,buthaina_2m,MobileFaceNet,1.971,56.93,10.6,0.0,0,
45,buthaina_2m,MobileFaceNet,2.022,56.93,10.6,0.0,0,
46,buthaina_2m,MobileFaceNet,2.054,56.93,10.6,0.0,0,
47,buthaina_2m,MobileFaceNet,2.093,73.7,49.05,23.27,1,Unknown
48,buthaina_2m,MobileFaceNet,2.146,73.7,49.05,23.27,1,Unknown
49,buthaina_2m,MobileFaceNet,2.172,73.7,49.05,23.27,1,Unknown
50,buthaina_2m,MobileFaceNet,2.209,61.9,58.76,0.0,0,
51,buthaina_2m,MobileFaceNet,2.261,61.9,58.76,0.0,0,
52,buthaina_2m,MobileFaceNet,2.288,61.9,58.76,0.0,0,
53,buthaina_2m,MobileFaceNet,2.337,11.85,9.84,0.0,0,
54,buthaina_2m,MobileFaceNet,2.369,11.85,9.84,0.0,0,
55,buthaina_2m,MobileFaceNet,2.42,11.85,9.84,0.0,0,
56,buthaina_2m,MobileFaceNet,2.458,16.37,11.35,0.0,0,
57,buthaina_2m,MobileFaceNet,2.501,13.15,11.64,0.0,0,
58,buthaina_2m,MobileFaceNet,2.54,13.53,9.51,0.0,0,
59,buthaina_2m,MobileFaceNet,2.585,15.79,13.21,0.0,0,
60,buthaina_2m,MobileFaceNet,2.622,13.09,10.58,0.0,0,
61,buthaina_2m,MobileFaceNet,2.665,12.74,11.74,0.0,0,
62,buthaina_2m,MobileFaceNet,2.707,18.43,15.41,0.0,0,
63,buthaina_2m,MobileFaceNet,2.75,13.7,10.9,0.0,0,
64,buthaina_2m,MobileFaceNet,2.789,12.05,9.55,0.0,0,
65,buthaina_2m,MobileFaceNet,2.84,15.29,11.77,0.0,0,
66,buthaina_2m,MobileFaceNet,2.867,15.29,11.77,0.0,0,
67,buthaina_2m,MobileFaceNet,2.91,13.23,11.44,0.0,0,
68,buthaina_2m,MobileFaceNet,2.947,35.53,12.1,18.97,1,Unknown
69,buthaina_2m,MobileFaceNet,2.975,35.53,12.1,18.97,1,Unknown
70,buthaina_2m,MobileFaceNet,3.016,35.53,12.1,18.97,1,Unknown
71,buthaina_2m,MobileFaceNet,3.072,116.17,11.06,57.52,1,Unknown
72,buthaina_2m,MobileFaceNet,3.1,116.17,11.06,57.52,1,Unknown
73,buthaina_2m,MobileFaceNet,3.14,85.46,62.09,19.82,1,Unknown
74,buthaina_2m,MobileFaceNet,3.178,85.46,62.09,19.82,1,Unknown
75,buthaina_2m,MobileFaceNet,3.233,85.46,62.09,19.82,1,Unknown
76,buthaina_2m,MobileFaceNet,3.264,85.46,62.09,19.82,1,Unknown
77,buthaina_2m,MobileFaceNet,3.301,85.46,62.09,19.82,1,Unknown
78,buthaina_2m,MobileFaceNet,3.352,123.09,13.73,63.32,1,Unknown
79,buthaina_2m,MobileFaceNet,3.382,123.09,13.73,63.32,1,Unknown
80,buthaina_2m,MobileFaceNet,3.432,65.91,14.35,48.02,1,Buthaina
81,buthaina_2m,MobileFaceNet,3.623,75.29,52.96,20.82,1,Buthaina
82,buthaina_2m,MobileFaceNet,3.681,75.29,52.96,20.82,1,Buthaina
83,buthaina_2m,MobileFaceNet,3.701,75.29,52.96,20.82,1,Buthaina
84,buthaina_2m,MobileFaceNet,3.746,69.94,12.11,52.8,1,Buthaina
85,buthaina_2m,MobileFaceNet,3.772,69.94,12.11,52.8,1,Buthaina
