frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,kevin_glasses,MobileFaceNet,0.096,0.0,0.0,0.0,0,
2,kevin_glasses,MobileFaceNet,0.108,0.0,0.0,0.0,0,
3,kevin_glasses,MobileFaceNet,0.132,0.0,0.0,0.0,0,
4,kevin_glasses,MobileFaceNet,0.152,0.0,0.0,0.0,0,
5,kevin_glasses,MobileFaceNet,0.171,0.0,0.0,0.0,0,
6,kevin_glasses,MobileFaceNet,0.19,0.0,0.0,0.0,0,
7,kevin_glasses,MobileFaceNet,0.212,0.0,0.0,0.0,0,
8,kevin_glasses,MobileFaceNet,0.233,0.0,0.0,0.0,0,
9,kevin_glasses,MobileFaceNet,0.252,0.0,0.0,0.0,0,
10,kevin_glasses,MobileFaceNet,0.273,0.0,0.0,0.0,0,
11,kevin_glasses,MobileFaceNet,0.294,0.0,0.0,0.0,0,
12,kevin_glasses,MobileFaceNet,0.312,0.0,0.0,0.0,0,
13,kevin_glasses,MobileFaceNet,0.334,0.0,0.0,0.0,0,
14,kevin_glasses,MobileFaceNet,0.354,0.0,0.0,0.0,0,
15,kevin_glasses,MobileFaceNet,0.375,0.0,0.0,0.0,0,
16,kevin_glasses,MobileFaceNet,0.401,0.0,0.0,0.0,0,
17,kevin_glasses,MobileFaceNet,0.424,0.0,0.0,0.0,0,
18,kevin_glasses,MobileFaceNet,0.445,0.0,0.0,0.0,0,
19,kevin_glasses,MobileFaceNet,0.467,0.0,0.0,0.0,0,
20,kevin_glasses,MobileFaceNet,0.487,0.0,0.0,0.0,0,
21,kevin_glasses,MobileFaceNet,0.508,0.0,0.0,0.0,0,
22,kevin_glasses,MobileFaceNet,0.532,0.0,0.0,0.0,0,
23,kevin_glasses,MobileFaceNet,0.552,0.0,0.0,0.0,0,
24,kevin_glasses,MobileFaceNet,0.572,0.0,0.0,0.0,0,
25,kevin_glasses,MobileFaceNet,0.592,0.0,0.0,0.0,0,
26,kevin_glasses,MobileFaceNet,0.612,0.0,0.0,0.0,0,
27,kevin_glasses,MobileFaceNet,0.636,0.0,0.0,0.0,0,
28,kevin_glasses,MobileFaceNet,0.653,0.0,0.0,0.0,0,
29,kevin_glasses,MobileFaceNet,0.675,0.0,0.0,0.0,0,
30,kevin_glasses,MobileFaceNet,0.696,0.0,0.0,0.0,0,
31,kevin_glasses,MobileFaceNet,0.719,0.0,0.0,0.0,0,
32,kevin_glasses,MobileFaceNet,0.739,0.0,0.0,0.0,0,
33,kevin_glasses,MobileFaceNet,0.763,0.0,0.0,0.0,0,
34,kevin_glasses,MobileFaceNet,0.786,0.0,0.0,0.0,0,
35,kevin_glasses,MobileFaceNet,0.805,0.0,0.0,0.0,0,
36,kevin_glasses,MobileFaceNet,0.824,0.0,0.0,0.0,0,
37,kevin_glasses,MobileFaceNet,0.848,0.0,0.0,0.0,0,
38,kevin_glasses,MobileFaceNet,0.871,0.0,0.0,0.0,0,
39,kevin_glasses,MobileFaceNet,0.893,0.0,0.0,0.0,0,
40,kevin_glasses,MobileFaceNet,0.917,0.0,0.0,0.0,0,
41,kevin_glasses,MobileFaceNet,0.938,0.0,0.0,0.0,0,
42,kevin_glasses,MobileFaceNet,0.96,0.0,0.0,0.0,0,
43,kevin_glasses,MobileFaceNet,0.985,0.0,0.0,0.0,0,
44,kevin_glasses,MobileFaceNet,1.005,0.0,0.0,0.0,0,
45,kevin_glasses,MobileFaceNet,1.025,0.0,0.0,0.0,0,
46,kevin_glasses,MobileFaceNet,1.046,0.0,0.0,0.0,0,
47,kevin_glasses,MobileFaceNet,1.067,0.0,0.0,0.0,0,
48,kevin_glasses,MobileFaceNet,1.087,0.0,0.0,0.0,0,
49,kevin_glasses,MobileFaceNet,1.107,0.0,0.0,0.0,0,
50,kevin_glasses,MobileFaceNet,1.129,0.0,0.0,0.0,0,
51,kevin_glasses,MobileFaceNet,1.151,0.0,0.0,0.0,0,
52,kevin_glasses,MobileFaceNet,1.17,0.0,0.0,0.0,0,
53,kevin_glasses,MobileFaceNet,1.192,0.0,0.0,0.0,0,
54,kevin_glasses,MobileFaceNet,1.214,0.0,0.0,0.0,0,
55,kevin_glasses,MobileFaceNet,1.236,0.0,0.0,0.0,0,
56,kevin_glasses,MobileFaceNet,1.255,0.0,0.0,0.0,0,
57,kevin_glasses,MobileFaceNet,1.274,0.0,0.0,0.0,0,
58,kevin_glasses,MobileFaceNet,1.298,0.0,0.0,0.0,0,
59,kevin_glasses,MobileFaceNet,1.32,0.0,0.0,0.0,0,
60,kevin_glasses,MobileFaceNet,1.339,0.0,0.0,0.0,0,
61,kevin_glasses,MobileFaceNet,1.359,0.0,0.0,0.0,0,
62,kevin_glasses,MobileFaceNet,1.38,0.0,0.0,0.0,0,
63,kevin_glasses,MobileFaceNet,1.4,0.0,0.0,0.0,0,
64,kevin_glasses,MobileFaceNet,1.419,0.0,0.0,0.0,0,
65,kevin_glasses,MobileFaceNet,1.441,0.0,0.0,0.0,0,
66,kevin_glasses,MobileFaceNet,1.464,0.0,0.0,0.0,0,
67,kevin_glasses,MobileFaceNet,1.485,0.0,0.0,0.0,0,
68,kevin_glasses,MobileFaceNet,1.505,0.0,0.0,0.0,0,
69,kevin_glasses,MobileFaceNet,1.525,0.0,0.0,0.0,0,
70,kevin_glasses,MobileFaceNet,1.547,0.0,0.0,0.0,0,
71,kevin_glasses,MobileFaceNet,1.569,0.0,0.0,0.0,0,
72,kevin_glasses,MobileFaceNet,1.59,0.0,0.0,0.0,0,
73,kevin_glasses,MobileFaceNet,1.61,0.0,0.0,0.0,0,
74,kevin_glasses,MobileFaceNet,1.631,0.0,0.0,0.0,0,
75,kevin_glasses,MobileFaceNet,1.651,0.0,0.0,0.0,0,
76,kevin_glasses,MobileFaceNet,1.671,0.0,0.0,0.0,0,
77,kevin_glasses,MobileFaceNet,1.693,0.0,0.0,0.0,0,
78,kevin_glasses,MobileFaceNet,1.714,0.0,0.0,0.0,0,
79,kevin_glasses,MobileFaceNet,1.735,0.0,0.0,0.0,0,
80,kevin_glasses,MobileFaceNet,1.755,0.0,0.0,0.0,0,
81,kevin_glasses,MobileFaceNet,1.777,0.0,0.0,0.0,0,
82,kevin_glasses,MobileFaceNet,1.796,0.0,0.0,0.0,0,
83,kevin_glasses,MobileFaceNet,1.826,0.0,0.0,0.0,0,
84,kevin_glasses,MobileFaceNet,1.847,0.0,0.0,0.0,0,
85,kevin_glasses,MobileFaceNet,1.866,0.0,0.0,0.0,0,
86,kevin_glasses,MobileFaceNet,1.887,0.0,0.0,0.0,0,
87,kevin_glasses,MobileFaceNet,1.907,0.0,0.0,0.0,0,
88,kevin_glasses,MobileFaceNet,1.926,0.0,0.0,0.0,0,
89,kevin_glasses,MobileFaceNet,1.951,0.0,0.0,0.0,0,
90,kevin_glasses,MobileFaceNet,1.979,0.0,0.0,0.0,0,
91,kevin_glasses,MobileFaceNet,2.0,139.07,12.72,125.34,1,Unknown;Unknown
92,kevin_glasses,MobileFaceNet,2.033,139.07,12.72,125.34,1,Unknown;Unknown
93,kevin_glasses,MobileFaceNet,2.053,139.07,12.72,125.34,1,Unknown;Unknown
