frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,kevin_mask,MobileFaceNet,0.097,0.0,0.0,0.0,0,
2,kevin_mask,MobileFaceNet,0.113,0.0,0.0,0.0,0,
3,kevin_mask,MobileFaceNet,0.133,0.0,0.0,0.0,0,
4,kevin_mask,MobileFaceNet,0.153,0.0,0.0,0.0,0,
5,kevin_mask,MobileFaceNet,0.174,0.0,0.0,0.0,0,
6,kevin_mask,MobileFaceNet,0.195,0.0,0.0,0.0,0,
7,kevin_mask,MobileFaceNet,0.216,0.0,0.0,0.0,0,
8,kevin_mask,MobileFaceNet,0.236,0.0,0.0,0.0,0,
9,kevin_mask,MobileFaceNet,0.256,0.0,0.0,0.0,0,
10,kevin_mask,MobileFaceNet,0.28,0.0,0.0,0.0,0,
11,kevin_mask,MobileFaceNet,0.302,0.0,0.0,0.0,0,
12,kevin_mask,MobileFaceNet,0.323,0.0,0.0,0.0,0,
13,kevin_mask,MobileFaceNet,0.346,0.0,0.0,0.0,0,
14,kevin_mask,MobileFaceNet,0.367,0.0,0.0,0.0,0,
15,kevin_mask,MobileFaceNet,0.387,0.0,0.0,0.0,0,
16,kevin_mask,MobileFaceNet,0.41,0.0,0.0,0.0,0,
17,kevin_mask,MobileFaceNet,0.43,0.0,0.0,0.0,0,
18,kevin_mask,MobileFaceNet,0.449,0.0,0.0,0.0,0,
19,kevin_mask,MobileFaceNet,0.47,0.0,0.0,0.0,0,
20,kevin_mask,MobileFaceNet,0.492,0.0,0.0,0.0,0,
21,kevin_mask,MobileFaceNet,0.514,0.0,0.0,0.0,0,
22,kevin_mask,MobileFaceNet,0.536,0.0,0.0,0.0,0,
23,kevin_mask,MobileFaceNet,0.557,0.0,0.0,0.0,0,
24,kevin_mask,MobileFaceNet,0.582,0.0,0.0,0.0,0,
25,kevin_mask,MobileFaceNet,0.604,0.0,0.0,0.0,0,
26,kevin_mask,MobileFaceNet,0.626,0.0,0.0,0.0,0,
27,kevin_mask,MobileFaceNet,0.649,0.0,0.0,0.0,0,
28,kevin_mask,MobileFaceNet,0.668,0.0,0.0,0.0,0,
29,kevin_mask,MobileFaceNet,0.688,0.0,0.0,0.0,0,
30,kevin_mask,MobileFaceNet,0.712,0.0,0.0,0.0,0,
31,kevin_mask,MobileFaceNet,0.732,0.0,0.0,0.0,0,
32,kevin_mask,MobileFaceNet,0.752,0.0,0.0,0.0,0,
33,kevin_mask,MobileFaceNet,0.771,0.0,0.0,0.0,0,
34,kevin_mask,MobileFaceNet,0.793,0.0,0.0,0.0,0,
35,kevin_mask,MobileFaceNet,0.813,0.0,0.0,0.0,0,
36,kevin_mask,MobileFaceNet,0.832,0.0,0.0,0.0,0,
37,kevin_mask,MobileFaceNet,0.854,0.0,0.0,0.0,0,
38,kevin_mask,MobileFaceNet,0.874,0.0,0.0,0.0,0,
39,kevin_mask,MobileFaceNet,0.896,0.0,0.0,0.0,0,
40,kevin_mask,MobileFaceNet,0.919,0.0,0.0,0.0,0,
41,kevin_mask,MobileFaceNet,0.94,0.0,0.0,0.0,0,
42,kevin_mask,MobileFaceNet,0.963,0.0,0.0,0.0,0,
43,kevin_mask,MobileFaceNet,0.986,0.0,0.0,0.0,0,
44,kevin_mask,MobileFaceNet,1.006,0.0,0.0,0.0,0,
45,kevin_mask,MobileFaceNet,1.028,0.0,0.0,0.0,0,
46,kevin_mask,MobileFaceNet,1.048,0.0,0.0,0.0,0,
47,kevin_mask,MobileFaceNet,1.068,0.0,0.0,0.0,0,
48,kevin_mask,MobileFaceNet,1.086,0.0,0.0,0.0,0,
49,kevin_mask,MobileFaceNet,1.108,0.0,0.0,0.0,0,
50,kevin_mask,MobileFaceNet,1.134,0.0,0.0,0.0,0,
51,kevin_mask,MobileFaceNet,1.154,0.0,0.0,0.0,0,
52,kevin_mask,MobileFaceNet,1.176,0.0,0.0,0.0,0,
53,kevin_mask,MobileFaceNet,1.196,0.0,0.0,0.0,0,
54,kevin_mask,MobileFaceNet,1.216,0.0,0.0,0.0,0,
55,kevin_mask,MobileFaceNet,1.238,0.0,0.0,0.0,0,
56,kevin_mask,MobileFaceNet,1.258,0.0,0.0,0.0,0,
57,kevin_mask,MobileFaceNet,1.285,143.81,58.79,83.52,1,Unknown;Unknown;Kevin
58,kevin_mask,MobileFaceNet,1.463,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
59,kevin_mask,MobileFaceNet,1.484,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
60,kevin_mask,MobileFaceNet,1.506,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
61,kevin_mask,MobileFaceNet,1.527,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
62,kevin_mask,MobileFaceNet,1.55,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
63,kevin_mask,MobileFaceNet,1.572,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
64,kevin_mask,MobileFaceNet,1.593,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
65,kevin_mask,MobileFaceNet,1.614,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
66,kevin_mask,MobileFaceNet,1.633,118.83,12.66,105.66,1,Unknown;Unknown;Kevin;Unknown
67,kevin_mask,MobileFaceNet,1.659,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
68,kevin_mask,MobileFaceNet,1.68,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
69,kevin_mask,MobileFaceNet,1.7,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
70,kevin_mask,MobileFaceNet,1.722,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
71,kevin_mask,MobileFaceNet,1.743,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
72,kevin_mask,MobileFaceNet,1.768,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
73,kevin_mask,MobileFaceNet,1.787,218.07,14.17,203.9,1,Unknown;Unknown;Kevin;Unknown
74,kevin_mask,MobileFaceNet,1.818,149.82,12.22,136.09,1,Unknown;Unknown;Kevin
