frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,marshall_overhead40,MobileFaceNet,0.103,0.0,0.0,0.0,0,
2,marshall_overhead40,MobileFaceNet,0.118,0.0,0.0,0.0,0,
3,marshall_overhead40,MobileFaceNet,0.136,0.0,0.0,0.0,0,
4,marshall_overhead40,MobileFaceNet,0.158,0.0,0.0,0.0,0,
5,marshall_overhead40,MobileFaceNet,0.178,0.0,0.0,0.0,0,
6,marshall_overhead40,MobileFaceNet,0.199,0.0,0.0,0.0,0,
7,marshall_overhead40,MobileFaceNet,0.218,0.0,0.0,0.0,0,
8,marshall_overhead40,MobileFaceNet,0.239,0.0,0.0,0.0,0,
9,marshall_overhead40,MobileFaceNet,0.258,0.0,0.0,0.0,0,
10,marshall_overhead40,MobileFaceNet,0.279,0.0,0.0,0.0,0,
11,marshall_overhead40,MobileFaceNet,0.298,0.0,0.0,0.0,0,
12,marshall_overhead40,MobileFaceNet,0.318,0.0,0.0,0.0,0,
13,marshall_overhead40,MobileFaceNet,0.338,0.0,0.0,0.0,0,
14,marshall_overhead40,MobileFaceNet,0.358,0.0,0.0,0.0,0,
15,marshall_overhead40,MobileFaceNet,0.377,0.0,0.0,0.0,0,
16,marshall_overhead40,MobileFaceNet,0.396,0.0,0.0,0.0,0,
17,marshall_overhead40,MobileFaceNet,0.416,0.0,0.0,0.0,0,
18,marshall_overhead40,MobileFaceNet,0.437,0.0,0.0,0.0,0,
19,marshall_overhead40,MobileFaceNet,0.457,0.0,0.0,0.0,0,
20,marshall_overhead40,MobileFaceNet,0.477,0.0,0.0,0.0,0,
21,marshall_overhead40,MobileFaceNet,0.495,0.0,0.0,0.0,0,
22,marshall_overhead40,MobileFaceNet,0.516,0.0,0.0,0.0,0,
23,marshall_overhead40,MobileFaceNet,0.535,0.0,0.0,0.0,0,
24,marshall_overhead40,MobileFaceNet,0.556,0.0,0.0,0.0,0,
25,marshall_overhead40,MobileFaceNet,0.576,0.0,0.0,0.0,0,
26,marshall_overhead40,MobileFaceNet,0.595,0.0,0.0,0.0,0,
27,marshall_overhead40,MobileFaceNet,0.615,0.0,0.0,0.0,0,
28,marshall_overhead40,MobileFaceNet,0.636,0.0,0.0,0.0,0,
29,marshall_overhead40,MobileFaceNet,0.656,0.0,0.0,0.0,0,
30,marshall_overhead40,MobileFaceNet,0.677,0.0,0.0,0.0,0,
31,marshall_overhead40,MobileFaceNet,0.697,0.0,0.0,0.0,0,
32,marshall_overhead40,MobileFaceNet,0.72,0.0,0.0,0.0,0,
33,marshall_overhead40,MobileFaceNet,0.738,0.0,0.0,0.0,0,
34,marshall_overhead40,MobileFaceNet,0.758,0.0,0.0,0.0,0,
35,marshall_overhead40,MobileFaceNet,0.777,0.0,0.0,0.0,0,
36,marshall_overhead40,MobileFaceNet,0.796,0.0,0.0,0.0,0,
37,marshall_overhead40,MobileFaceNet,0.826,0.0,0.0,0.0,0,
38,marshall_overhead40,MobileFaceNet,0.844,0.0,0.0,0.0,0,
39,marshall_overhead40,MobileFaceNet,0.863,0.0,0.0,0.0,0,
40,marshall_overhead40,MobileFaceNet,0.883,0.0,0.0,0.0,0,
41,marshall_overhead40,MobileFaceNet,0.906,0.0,0.0,0.0,0,
42,marshall_overhead40,MobileFaceNet,0.924,0.0,0.0,0.0,0,
43,marshall_overhead40,MobileFaceNet,0.955,0.0,0.0,0.0,0,
44,marshall_overhead40,MobileFaceNet,0.974,0.0,0.0,0.0,0,
45,marshall_overhead40,MobileFaceNet,1.006,0.0,0.0,0.0,0,
46,marshall_overhead40,MobileFaceNet,1.032,0.0,0.0,0.0,0,
47,marshall_overhead40,MobileFaceNet,1.053,0.0,0.0,0.0,0,
48,marshall_overhead40,MobileFaceNet,1.074,0.0,0.0,0.0,0,
49,marshall_overhead40,MobileFaceNet,1.093,0.0,0.0,0.0,0,
50,marshall_overhead40,MobileFaceNet,1.111,0.0,0.0,0.0,0,
51,marshall_overhead40,MobileFaceNet,1.131,0.0,0.0,0.0,0,
52,marshall_overhead40,MobileFaceNet,1.154,0.0,0.0,0.0,0,
53,marshall_overhead40,MobileFaceNet,1.178,0.0,0.0,0.0,0,
54,marshall_overhead40,MobileFaceNet,1.2,93.76,10.58,82.67,1,Unknown;Unknown
55,marshall_overhead40,MobileFaceNet,1.236,93.76,10.58,82.67,1,Unknown;Unknown
56,marshall_overhead40,MobileFaceNet,1.256,93.76,10.58,82.67,1,Unknown;Unknown
57,marshall_overhead40,MobileFaceNet,1.275,93.76,10.58,82.67,1,Unknown;Unknown
58,marshall_overhead40,MobileFaceNet,1.297,93.76,10.58,82.67,1,Unknown;Unknown
59,marshall_overhead40,MobileFaceNet,1.324,93.76,10.58,82.67,1,Unknown;Unknown
60,marshall_overhead40,MobileFaceNet,1.344,154.79,12.12,142.67,1,Unknown;Unknown;Unknown
61,marshall_overhead40,MobileFaceNet,1.365,154.79,12.12,142.67,1,Unknown;Unknown;Unknown
62,marshall_overhead40,MobileFaceNet,1.386,154.79,12.12,142.67,1,Unknown;Unknown;Unknown
63,marshall_overhead40,MobileFaceNet,1.407,154.79,12.12,142.67,1,Unknown;Unknown;Unknown
64,marshall_overhead40,MobileFaceNet,1.43,103.08,12.67,90.41,1,Unknown;Unknown;Marshall
65,marshall_overhead40,MobileFaceNet,1.582,138.68,9.04,128.14,1,Unknown;Unknown;Marshall
66,marshall_overhead40,MobileFaceNet,1.609,138.68,9.04,128.14,1,Unknown;Unknown;Marshall
67,marshall_overhead40,MobileFaceNet,1.636,138.68,9.04,128.14,1,Unknown;Unknown;Marshall
68,marshall_overhead40,MobileFaceNet,1.658,138.68,9.04,128.14,1,Unknown;Unknown;Marshall
69,marshall_overhead40,MobileFaceNet,1.676,138.68,9.04,128.14,1,Unknown;Unknown;Marshall
70,marshall_overhead40,MobileFaceNet,1.708,116.54,9.04,105.97,1,Unknown;Unknown;Marshall
71,marshall_overhead40,MobileFaceNet,1.74,116.54,9.04,105.97,1,Unknown;Unknown;Marshall
72,marshall_overhead40,MobileFaceNet,1.749,116.54,9.04,105.97,1,Unknown;Unknown;Marshall
73,marshall_overhead40,MobileFaceNet,1.77,116.54,9.04,105.97,1,Unknown;Unknown;Marshall
74,marshall_overhead40,MobileFaceNet,1.79,116.54,9.04,105.97,1,Unknown;Unknown;Marshall
