frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,marshall_side40,MobileFaceNet,0.097,0.0,0.0,0.0,0,
2,marshall_side40,MobileFaceNet,0.116,0.0,0.0,0.0,0,
3,marshall_side40,MobileFaceNet,0.137,0.0,0.0,0.0,0,
4,marshall_side40,MobileFaceNet,0.156,0.0,0.0,0.0,0,
5,marshall_side40,MobileFaceNet,0.189,0.0,0.0,0.0,0,
6,marshall_side40,MobileFaceNet,0.207,0.0,0.0,0.0,0,
7,marshall_side40,MobileFaceNet,0.226,0.0,0.0,0.0,0,
8,marshall_side40,MobileFaceNet,0.246,0.0,0.0,0.0,0,
9,marshall_side40,MobileFaceNet,0.267,0.0,0.0,0.0,0,
10,marshall_side40,MobileFaceNet,0.291,0.0,0.0,0.0,0,
11,marshall_side40,MobileFaceNet,0.311,0.0,0.0,0.0,0,
12,marshall_side40,MobileFaceNet,0.332,0.0,0.0,0.0,0,
13,marshall_side40,MobileFaceNet,0.352,0.0,0.0,0.0,0,
14,marshall_side40,MobileFaceNet,0.373,0.0,0.0,0.0,0,
15,marshall_side40,MobileFaceNet,0.393,0.0,0.0,0.0,0,
16,marshall_side40,MobileFaceNet,0.412,0.0,0.0,0.0,0,
17,marshall_side40,MobileFaceNet,0.432,0.0,0.0,0.0,0,
18,marshall_side40,MobileFaceNet,0.456,0.0,0.0,0.0,0,
19,marshall_side40,MobileFaceNet,0.477,0.0,0.0,0.0,0,
20,marshall_side40,MobileFaceNet,0.496,0.0,0.0,0.0,0,
21,marshall_side40,MobileFaceNet,0.515,0.0,0.0,0.0,0,
22,marshall_side40,MobileFaceNet,0.54,0.0,0.0,0.0,0,
23,marshall_side40,MobileFaceNet,0.56,0.0,0.0,0.0,0,
24,marshall_side40,MobileFaceNet,0.58,0.0,0.0,0.0,0,
25,marshall_side40,MobileFaceNet,0.6,0.0,0.0,0.0,0,
26,marshall_side40,MobileFaceNet,0.62,0.0,0.0,0.0,0,
27,marshall_side40,MobileFaceNet,0.639,0.0,0.0,0.0,0,
28,marshall_side40,MobileFaceNet,0.659,0.0,0.0,0.0,0,
29,marshall_side40,MobileFaceNet,0.677,0.0,0.0,0.0,0,
30,marshall_side40,MobileFaceNet,0.695,0.0,0.0,0.0,0,
31,marshall_side40,MobileFaceNet,0.721,0.0,0.0,0.0,0,
32,marshall_side40,MobileFaceNet,0.741,0.0,0.0,0.0,0,
33,marshall_side40,MobileFaceNet,0.762,0.0,0.0,0.0,0,
34,marshall_side40,MobileFaceNet,0.783,0.0,0.0,0.0,0,
35,marshall_side40,MobileFaceNet,0.803,0.0,0.0,0.0,0,
36,marshall_side40,MobileFaceNet,0.826,0.0,0.0,0.0,0,
37,marshall_side40,MobileFaceNet,0.847,0.0,0.0,0.0,0,
38,marshall_side40,MobileFaceNet,0.869,0.0,0.0,0.0,0,
39,marshall_side40,MobileFaceNet,0.89,0.0,0.0,0.0,0,
40,marshall_side40,MobileFaceNet,0.913,0.0,0.0,0.0,0,
41,marshall_side40,MobileFaceNet,0.935,0.0,0.0,0.0,0,
42,marshall_side40,MobileFaceNet,0.954,0.0,0.0,0.0,0,
43,marshall_side40,MobileFaceNet,0.974,0.0,0.0,0.0,0,
44,marshall_side40,MobileFaceNet,0.995,0.0,0.0,0.0,0,
45,marshall_side40,MobileFaceNet,1.014,0.0,0.0,0.0,0,
46,marshall_side40,MobileFaceNet,1.034,0.0,0.0,0.0,0,
47,marshall_side40,MobileFaceNet,1.058,0.0,0.0,0.0,0,
48,marshall_side40,MobileFaceNet,1.078,0.0,0.0,0.0,0,
49,marshall_side40,MobileFaceNet,1.096,0.0,0.0,0.0,0,
50,marshall_side40,MobileFaceNet,1.116,0.0,0.0,0.0,0,
51,marshall_side40,MobileFaceNet,1.144,0.0,0.0,0.0,0,
52,marshall_side40,MobileFaceNet,1.164,0.0,0.0,0.0,0,
53,marshall_side40,MobileFaceNet,1.185,0.0,0.0,0.0,0,
54,marshall_side40,MobileFaceNet,1.204,0.0,0.0,0.0,0,
55,marshall_side40,MobileFaceNet,1.225,0.0,0.0,0.0,0,
56,marshall_side40,MobileFaceNet,1.244,0.0,0.0,0.0,0,
57,marshall_side40,MobileFaceNet,1.264,0.0,0.0,0.0,0,
58,marshall_side40,MobileFaceNet,1.289,0.0,0.0,0.0,0,
59,marshall_side40,MobileFaceNet,1.311,95.53,17.64,76.88,1,Unknown;Unknown
