frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_lowcontrst,MobileFaceNet,0.107,0.0,0.0,0.0,0,
2,mike_lowcontrst,MobileFaceNet,0.121,0.0,0.0,0.0,0,
3,mike_lowcontrst,MobileFaceNet,0.142,0.0,0.0,0.0,0,
4,mike_lowcontrst,MobileFaceNet,0.161,0.0,0.0,0.0,0,
5,mike_lowcontrst,MobileFaceNet,0.182,0.0,0.0,0.0,0,
6,mike_lowcontrst,MobileFaceNet,0.205,0.0,0.0,0.0,0,
7,mike_lowcontrst,MobileFaceNet,0.225,0.0,0.0,0.0,0,
8,mike_lowcontrst,MobileFaceNet,0.245,0.0,0.0,0.0,0,
9,mike_lowcontrst,MobileFaceNet,0.266,0.0,0.0,0.0,0,
10,mike_lowcontrst,MobileFaceNet,0.287,0.0,0.0,0.0,0,
11,mike_lowcontrst,MobileFaceNet,0.308,0.0,0.0,0.0,0,
12,mike_lowcontrst,MobileFaceNet,0.329,0.0,0.0,0.0,0,
13,mike_lowcontrst,MobileFaceNet,0.348,0.0,0.0,0.0,0,
14,mike_lowcontrst,MobileFaceNet,0.369,0.0,0.0,0.0,0,
15,mike_lowcontrst,MobileFaceNet,0.387,0.0,0.0,0.0,0,
16,mike_lowcontrst,MobileFaceNet,0.41,0.0,0.0,0.0,0,
17,mike_lowcontrst,MobileFaceNet,0.431,0.0,0.0,0.0,0,
18,mike_lowcontrst,MobileFaceNet,0.451,0.0,0.0,0.0,0,
19,mike_lowcontrst,MobileFaceNet,0.472,0.0,0.0,0.0,0,
20,mike_lowcontrst,MobileFaceNet,0.49,0.0,0.0,0.0,0,
21,mike_lowcontrst,MobileFaceNet,0.509,0.0,0.0,0.0,0,
22,mike_lowcontrst,MobileFaceNet,0.533,0.0,0.0,0.0,0,
23,mike_lowcontrst,MobileFaceNet,0.553,0.0,0.0,0.0,0,
24,mike_lowcontrst,MobileFaceNet,0.572,0.0,0.0,0.0,0,
25,mike_lowcontrst,MobileFaceNet,0.592,0.0,0.0,0.0,0,
26,mike_lowcontrst,MobileFaceNet,0.612,0.0,0.0,0.0,0,
27,mike_lowcontrst,MobileFaceNet,0.633,0.0,0.0,0.0,0,
28,mike_lowcontrst,MobileFaceNet,0.653,0.0,0.0,0.0,0,
29,mike_lowcontrst,MobileFaceNet,0.673,0.0,0.0,0.0,0,
30,mike_lowcontrst,MobileFaceNet,0.697,0.0,0.0,0.0,0,
31,mike_lowcontrst,MobileFaceNet,0.719,0.0,0.0,0.0,0,
32,mike_lowcontrst,MobileFaceNet,0.738,0.0,0.0,0.0,0,
33,mike_lowcontrst,MobileFaceNet,0.757,0.0,0.0,0.0,0,
34,mike_lowcontrst,MobileFaceNet,0.776,0.0,0.0,0.0,0,
35,mike_lowcontrst,MobileFaceNet,0.795,0.0,0.0,0.0,0,
36,mike_lowcontrst,MobileFaceNet,0.817,0.0,0.0,0.0,0,
37,mike_lowcontrst,MobileFaceNet,0.838,0.0,0.0,0.0,0,
38,mike_lowcontrst,MobileFaceNet,0.855,0.0,0.0,0.0,0,
39,mike_lowcontrst,MobileFaceNet,0.877,0.0,0.0,0.0,0,
40,mike_lowcontrst,MobileFaceNet,0.898,0.0,0.0,0.0,0,
41,mike_lowcontrst,MobileFaceNet,0.921,0.0,0.0,0.0,0,
42,mike_lowcontrst,MobileFaceNet,0.943,0.0,0.0,0.0,0,
43,mike_lowcontrst,MobileFaceNet,0.965,0.0,0.0,0.0,0,
44,mike_lowcontrst,MobileFaceNet,0.986,0.0,0.0,0.0,0,
45,mike_lowcontrst,MobileFaceNet,1.012,0.0,0.0,0.0,0,
46,mike_lowcontrst,MobileFaceNet,1.033,0.0,0.0,0.0,0,
47,mike_lowcontrst,MobileFaceNet,1.057,0.0,0.0,0.0,0,
48,mike_lowcontrst,MobileFaceNet,1.078,0.0,0.0,0.0,0,
49,mike_lowcontrst,MobileFaceNet,1.102,0.0,0.0,0.0,0,
50,mike_lowcontrst,MobileFaceNet,1.12,0.0,0.0,0.0,0,
51,mike_lowcontrst,MobileFaceNet,1.141,0.0,0.0,0.0,0,
52,mike_lowcontrst,MobileFaceNet,1.16,0.0,0.0,0.0,0,
53,mike_lowcontrst,MobileFaceNet,1.18,0.0,0.0,0.0,0,
54,mike_lowcontrst,MobileFaceNet,1.202,0.0,0.0,0.0,0,
55,mike_lowcontrst,MobileFaceNet,1.231,0.0,0.0,0.0,0,
56,mike_lowcontrst,MobileFaceNet,1.241,0.0,0.0,0.0,0,
57,mike_lowcontrst,MobileFaceNet,1.264,172.26,20.26,106.1,1,Unknown;Unknown;Unknown
58,mike_lowcontrst,MobileFaceNet,1.298,172.26,20.26,106.1,1,Unknown;Unknown;Unknown
59,mike_lowcontrst,MobileFaceNet,1.324,78.71,13.82,64.89,1,Unknown
60,mike_lowcontrst,MobileFaceNet,1.346,78.71,13.82,64.89,1,Unknown
61,mike_lowcontrst,MobileFaceNet,1.367,78.71,13.82,64.89,1,Unknown
62,mike_lowcontrst,MobileFaceNet,1.389,78.71,13.82,64.89,1,Unknown
63,mike_lowcontrst,MobileFaceNet,1.409,90.86,11.11,77.24,1,Unknown;Unknown
64,mike_lowcontrst,MobileFaceNet,1.429,90.86,11.11,77.24,1,Unknown;Unknown
65,mike_lowcontrst,MobileFaceNet,1.455,90.86,11.11,77.24,1,Unknown;Unknown
66,mike_lowcontrst,MobileFaceNet,1.476,90.86,11.11,77.24,1,Unknown;Unknown
67,mike_lowcontrst,MobileFaceNet,1.497,90.86,11.11,77.24,1,Unknown;Unknown
68,mike_lowcontrst,MobileFaceNet,1.52,90.86,11.11,77.24,1,Unknown;Unknown
69,mike_lowcontrst,MobileFaceNet,1.543,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
70,mike_lowcontrst,MobileFaceNet,1.566,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
71,mike_lowcontrst,MobileFaceNet,1.586,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
72,mike_lowcontrst,MobileFaceNet,1.605,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
73,mike_lowcontrst,MobileFaceNet,1.625,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
74,mike_lowcontrst,MobileFaceNet,1.647,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
75,mike_lowcontrst,MobileFaceNet,1.669,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
76,mike_lowcontrst,MobileFaceNet,1.689,99.48,9.52,87.44,1,Unknown;Unknown;Unknown
77,mike_lowcontrst,MobileFaceNet,1.716,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
78,mike_lowcontrst,MobileFaceNet,1.739,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
79,mike_lowcontrst,MobileFaceNet,1.76,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
80,mike_lowcontrst,MobileFaceNet,1.781,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
81,mike_lowcontrst,MobileFaceNet,1.802,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
82,mike_lowcontrst,MobileFaceNet,1.824,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
83,mike_lowcontrst,MobileFaceNet,1.844,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
84,mike_lowcontrst,MobileFaceNet,1.864,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
85,mike_lowcontrst,MobileFaceNet,1.888,159.79,10.56,149.23,1,Unknown;Unknown;Unknown;Unknown
86,mike_lowcontrst,MobileFaceNet,1.91,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
87,mike_lowcontrst,MobileFaceNet,1.933,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
88,mike_lowcontrst,MobileFaceNet,1.954,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
89,mike_lowcontrst,MobileFaceNet,1.974,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
90,mike_lowcontrst,MobileFaceNet,1.994,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
91,mike_lowcontrst,MobileFaceNet,2.019,195.08,11.61,182.35,1,Unknown;Unknown;Unknown;Unknown
92,mike_lowcontrst,MobileFaceNet,2.043,129.09,59.26,68.81,1,Unknown;Unknown
93,mike_lowcontrst,MobileFaceNet,2.065,129.09,59.26,68.81,1,Unknown;Unknown
94,mike_lowcontrst,MobileFaceNet,2.085,129.09,59.26,68.81,1,Unknown;Unknown
95,mike_lowcontrst,MobileFaceNet,2.105,129.09,59.26,68.81,1,Unknown;Unknown
96,mike_lowcontrst,MobileFaceNet,2.126,129.09,59.26,68.81,1,Unknown;Unknown
97,mike_lowcontrst,MobileFaceNet,2.148,129.09,59.26,68.81,1,Unknown;Unknown
98,mike_lowcontrst,MobileFaceNet,2.17,129.09,59.26,68.81,1,Unknown;Unknown
99,mike_lowcontrst,MobileFaceNet,2.188,129.09,59.26,68.81,1,Unknown;Unknown
100,mike_lowcontrst,MobileFaceNet,2.21,129.09,59.26,68.81,1,Unknown;Unknown
101,mike_lowcontrst,MobileFaceNet,2.236,129.09,59.26,68.81,1,Unknown;Unknown
102,mike_lowcontrst,MobileFaceNet,2.256,192.61,13.35,178.25,1,Unknown;Unknown;Unknown;Unknown
103,mike_lowcontrst,MobileFaceNet,2.276,192.61,13.35,178.25,1,Unknown;Unknown;Unknown;Unknown
104,mike_lowcontrst,MobileFaceNet,2.299,192.61,13.35,178.25,1,Unknown;Unknown;Unknown;Unknown
105,mike_lowcontrst,MobileFaceNet,2.319,192.61,13.35,178.25,1,Unknown;Unknown;Unknown;Unknown
106,mike_lowcontrst,MobileFaceNet,2.339,111.41,10.57,100.84,1,Unknown;Unknown;Unknown
107,mike_lowcontrst,MobileFaceNet,2.363,111.41,10.57,100.84,1,Unknown;Unknown;Unknown
108,mike_lowcontrst,MobileFaceNet,2.384,111.41,10.57,100.84,1,Unknown;Unknown;Unknown
