frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_neardark,MobileFaceNet,0.1,0.0,0.0,0.0,0,
2,mike_neardark,MobileFaceNet,0.117,0.0,0.0,0.0,0,
3,mike_neardark,MobileFaceNet,0.138,0.0,0.0,0.0,0,
4,mike_neardark,MobileFaceNet,0.16,0.0,0.0,0.0,0,
5,mike_neardark,MobileFaceNet,0.181,0.0,0.0,0.0,0,
6,mike_neardark,MobileFaceNet,0.205,0.0,0.0,0.0,0,
7,mike_neardark,MobileFaceNet,0.225,0.0,0.0,0.0,0,
8,mike_neardark,MobileFaceNet,0.245,0.0,0.0,0.0,0,
9,mike_neardark,MobileFaceNet,0.264,0.0,0.0,0.0,0,
10,mike_neardark,MobileFaceNet,0.286,0.0,0.0,0.0,0,
11,mike_neardark,MobileFaceNet,0.305,0.0,0.0,0.0,0,
12,mike_neardark,MobileFaceNet,0.328,0.0,0.0,0.0,0,
13,mike_neardark,MobileFaceNet,0.349,0.0,0.0,0.0,0,
14,mike_neardark,MobileFaceNet,0.368,0.0,0.0,0.0,0,
15,mike_neardark,MobileFaceNet,0.39,0.0,0.0,0.0,0,
16,mike_neardark,MobileFaceNet,0.41,0.0,0.0,0.0,0,
17,mike_neardark,MobileFaceNet,0.43,0.0,0.0,0.0,0,
18,mike_neardark,MobileFaceNet,0.452,0.0,0.0,0.0,0,
19,mike_neardark,MobileFaceNet,0.473,0.0,0.0,0.0,0,
20,mike_neardark,MobileFaceNet,0.494,0.0,0.0,0.0,0,
21,mike_neardark,MobileFaceNet,0.514,0.0,0.0,0.0,0,
22,mike_neardark,MobileFaceNet,0.536,0.0,0.0,0.0,0,
23,mike_neardark,MobileFaceNet,0.555,0.0,0.0,0.0,0,
24,mike_neardark,MobileFaceNet,0.577,0.0,0.0,0.0,0,
25,mike_neardark,MobileFaceNet,0.597,0.0,0.0,0.0,0,
26,mike_neardark,MobileFaceNet,0.62,0.0,0.0,0.0,0,
27,mike_neardark,MobileFaceNet,0.641,0.0,0.0,0.0,0,
28,mike_neardark,MobileFaceNet,0.663,0.0,0.0,0.0,0,
