frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_sidesun,MobileFaceNet,0.098,0.0,0.0,0.0,0,
2,mike_sidesun,MobileFaceNet,0.117,0.0,0.0,0.0,0,
3,mike_sidesun,MobileFaceNet,0.137,0.0,0.0,0.0,0,
4,mike_sidesun,MobileFaceNet,0.159,0.0,0.0,0.0,0,
5,mike_sidesun,MobileFaceNet,0.176,0.0,0.0,0.0,0,
6,mike_sidesun,MobileFaceNet,0.197,0.0,0.0,0.0,0,
7,mike_sidesun,MobileFaceNet,0.216,0.0,0.0,0.0,0,
8,mike_sidesun,MobileFaceNet,0.235,0.0,0.0,0.0,0,
9,mike_sidesun,MobileFaceNet,0.256,0.0,0.0,0.0,0,
10,mike_sidesun,MobileFaceNet,0.279,0.0,0.0,0.0,0,
11,mike_sidesun,MobileFaceNet,0.3,0.0,0.0,0.0,0,
12,mike_sidesun,MobileFaceNet,0.32,0.0,0.0,0.0,0,
13,mike_sidesun,MobileFaceNet,0.34,0.0,0.0,0.0,0,
14,mike_sidesun,MobileFaceNet,0.363,0.0,0.0,0.0,0,
15,mike_sidesun,MobileFaceNet,0.384,0.0,0.0,0.0,0,
16,mike_sidesun,MobileFaceNet,0.403,0.0,0.0,0.0,0,
17,mike_sidesun,MobileFaceNet,0.426,0.0,0.0,0.0,0,
18,mike_sidesun,MobileFaceNet,0.444,0.0,0.0,0.0,0,
19,mike_sidesun,MobileFaceNet,0.467,0.0,0.0,0.0,0,
20,mike_sidesun,MobileFaceNet,0.487,0.0,0.0,0.0,0,
21,mike_sidesun,MobileFaceNet,0.506,0.0,0.0,0.0,0,
22,mike_sidesun,MobileFaceNet,0.525,0.0,0.0,0.0,0,
23,mike_sidesun,MobileFaceNet,0.545,0.0,0.0,0.0,0,
24,mike_sidesun,MobileFaceNet,0.565,0.0,0.0,0.0,0,
25,mike_sidesun,MobileFaceNet,0.585,0.0,0.0,0.0,0,
26,mike_sidesun,MobileFaceNet,0.605,0.0,0.0,0.0,0,
27,mike_sidesun,MobileFaceNet,0.627,0.0,0.0,0.0,0,
28,mike_sidesun,MobileFaceNet,0.646,0.0,0.0,0.0,0,
29,mike_sidesun,MobileFaceNet,0.676,0.0,0.0,0.0,0,
30,mike_sidesun,MobileFaceNet,0.696,0.0,0.0,0.0,0,
31,mike_sidesun,MobileFaceNet,0.719,0.0,0.0,0.0,0,
32,mike_sidesun,MobileFaceNet,0.74,0.0,0.0,0.0,0,
33,mike_sidesun,MobileFaceNet,0.759,0.0,0.0,0.0,0,
34,mike_sidesun,MobileFaceNet,0.78,0.0,0.0,0.0,0,
35,mike_sidesun,MobileFaceNet,0.799,0.0,0.0,0.0,0,
36,mike_sidesun,MobileFaceNet,0.819,0.0,0.0,0.0,0,
37,mike_sidesun,MobileFaceNet,0.839,0.0,0.0,0.0,0,
38,mike_sidesun,MobileFaceNet,0.87,0.0,0.0,0.0,0,
39,mike_sidesun,MobileFaceNet,0.89,0.0,0.0,0.0,0,
40,mike_sidesun,MobileFaceNet,0.919,0.0,0.0,0.0,0,
41,mike_sidesun,MobileFaceNet,0.939,0.0,0.0,0.0,0,
42,mike_sidesun,MobileFaceNet,0.959,0.0,0.0,0.0,0,
43,mike_sidesun,MobileFaceNet,0.979,0.0,0.0,0.0,0,
44,mike_sidesun,MobileFaceNet,0.998,0.0,0.0,0.0,0,
45,mike_sidesun,MobileFaceNet,1.017,0.0,0.0,0.0,0,
46,mike_sidesun,MobileFaceNet,1.04,0.0,0.0,0.0,0,
47,mike_sidesun,MobileFaceNet,1.06,0.0,0.0,0.0,0,
48,mike_sidesun,MobileFaceNet,1.08,0.0,0.0,0.0,0,
49,mike_sidesun,MobileFaceNet,1.101,0.0,0.0,0.0,0,
50,mike_sidesun,MobileFaceNet,1.12,0.0,0.0,0.0,0,
51,mike_sidesun,MobileFaceNet,1.14,0.0,0.0,0.0,0,
52,mike_sidesun,MobileFaceNet,1.165,0.0,0.0,0.0,0,
53,mike_sidesun,MobileFaceNet,1.187,120.26,12.42,107.85,1,Mike;Unknown
54,mike_sidesun,MobileFaceNet,1.366,88.71,14.34,72.79,1,Mike;Unknown
55,mike_sidesun,MobileFaceNet,1.394,88.71,14.34,72.79,1,Mike;Unknown
56,mike_sidesun,MobileFaceNet,1.411,88.71,14.34,72.79,1,Mike;Unknown
57,mike_sidesun,MobileFaceNet,1.443,56.01,10.76,43.19,1,Mike;Unknown
58,mike_sidesun,MobileFaceNet,1.462,56.01,10.76,43.19,1,Mike;Unknown
59,mike_sidesun,MobileFaceNet,1.483,56.01,10.76,43.19,1,Mike;Unknown
60,mike_sidesun,MobileFaceNet,1.508,56.01,10.76,43.19,1,Mike;Unknown
61,mike_sidesun,MobileFaceNet,1.531,56.01,10.76,43.19,1,Mike;Unknown
62,mike_sidesun,MobileFaceNet,1.56,97.4,14.78,81.04,1,Mike;Unknown
63,mike_sidesun,MobileFaceNet,1.581,97.4,14.78,81.04,1,Mike;Unknown
64,mike_sidesun,MobileFaceNet,1.603,97.4,14.78,81.04,1,Mike;Unknown
65,mike_sidesun,MobileFaceNet,1.626,97.4,14.78,81.04,1,Mike;Unknown
66,mike_sidesun,MobileFaceNet,1.659,97.4,14.78,81.04,1,Mike;Unknown
67,mike_sidesun,MobileFaceNet,1.68,101.01,14.91,84.59,1,Unknown;Mike
68,mike_sidesun,MobileFaceNet,1.703,101.01,14.91,84.59,1,Unknown;Mike
69,mike_sidesun,MobileFaceNet,1.727,101.01,14.91,84.59,1,Unknown;Mike
70,mike_sidesun,MobileFaceNet,1.75,101.01,14.91,84.59,1,Unknown;Mike
71,mike_sidesun,MobileFaceNet,1.774,101.01,14.91,84.59,1,Unknown;Mike
72,mike_sidesun,MobileFaceNet,1.802,152.28,14.1,137.01,1,Unknown;Mike;Unknown
73,mike_sidesun,MobileFaceNet,1.824,152.28,14.1,137.01,1,Unknown;Mike;Unknown
74,mike_sidesun,MobileFaceNet,1.846,152.28,14.1,137.01,1,Unknown;Mike;Unknown
75,mike_sidesun,MobileFaceNet,1.87,152.28,14.1,137.01,1,Unknown;Mike;Unknown
76,mike_sidesun,MobileFaceNet,1.891,152.28,14.1,137.01,1,Unknown;Mike;Unknown
77,mike_sidesun,MobileFaceNet,1.912,152.28,14.1,137.01,1,Unknown;Mike;Unknown
78,mike_sidesun,MobileFaceNet,1.941,138.24,10.81,126.42,1,Unknown;Mike;Unknown
79,mike_sidesun,MobileFaceNet,1.963,138.24,10.81,126.42,1,Unknown;Mike;Unknown
80,mike_sidesun,MobileFaceNet,1.982,138.24,10.81,126.42,1,Unknown;Mike;Unknown
81,mike_sidesun,MobileFaceNet,2.006,138.24,10.81,126.42,1,Unknown;Mike;Unknown
82,mike_sidesun,MobileFaceNet,2.027,138.24,10.81,126.42,1,Unknown;Mike;Unknown
83,mike_sidesun,MobileFaceNet,2.048,138.24,10.81,126.42,1,Unknown;Mike;Unknown
84,mike_sidesun,MobileFaceNet,2.072,138.24,10.81,126.42,1,Unknown;Mike;Unknown
85,mike_sidesun,MobileFaceNet,2.097,142.3,14.44,126.35,1,Unknown;Unknown;Mike
86,mike_sidesun,MobileFaceNet,2.12,142.3,14.44,126.35,1,Unknown;Unknown;Mike
87,mike_sidesun,MobileFaceNet,2.14,142.3,14.44,126.35,1,Unknown;Unknown;Mike
88,mike_sidesun,MobileFaceNet,2.163,142.3,14.44,126.35,1,Unknown;Unknown;Mike
89,mike_sidesun,MobileFaceNet,2.184,142.3,14.44,126.35,1,Unknown;Unknown;Mike
90,mike_sidesun,MobileFaceNet,2.206,142.3,14.44,126.35,1,Unknown;Unknown;Mike
91,mike_sidesun,MobileFaceNet,2.234,133.85,10.48,121.85,1,Unknown;Unknown;Mike
92,mike_sidesun,MobileFaceNet,2.256,133.85,10.48,121.85,1,Unknown;Unknown;Mike
93,mike_sidesun,MobileFaceNet,2.276,133.85,10.48,121.85,1,Unknown;Unknown;Mike
94,mike_sidesun,MobileFaceNet,2.297,133.85,10.48,121.85,1,Unknown;Unknown;Mike
95,mike_sidesun,MobileFaceNet,2.318,98.95,12.97,84.97,1,Unknown;Mike;Unknown
96,mike_sidesun,MobileFaceNet,2.341,98.95,12.97,84.97,1,Unknown;Mike;Unknown
97,mike_sidesun,MobileFaceNet,2.373,98.95,12.97,84.97,1,Unknown;Mike;Unknown
98,mike_sidesun,MobileFaceNet,2.382,98.95,12.97,84.97,1,Unknown;Mike;Unknown
99,mike_sidesun,MobileFaceNet,2.403,98.95,12.97,84.97,1,Unknown;Mike;Unknown
100,mike_sidesun,MobileFaceNet,2.422,98.95,12.97,84.97,1,Unknown;Mike;Unknown
101,mike_sidesun,MobileFaceNet,2.444,98.95,12.97,84.97,1,Unknown;Mike;Unknown
102,mike_sidesun,MobileFaceNet,2.464,98.95,12.97,84.97,1,Unknown;Mike;Unknown
103,mike_sidesun,MobileFaceNet,2.487,98.95,12.97,84.97,1,Unknown;Mike;Unknown
104,mike_sidesun,MobileFaceNet,2.508,98.95,12.97,84.97,1,Unknown;Mike;Unknown
105,mike_sidesun,MobileFaceNet,2.529,155.64,58.96,95.18,1,Unknown;Mike;Unknown
106,mike_sidesun,MobileFaceNet,2.547,155.64,58.96,95.18,1,Unknown;Mike;Unknown
107,mike_sidesun,MobileFaceNet,2.577,155.64,58.96,95.18,1,Unknown;Mike;Unknown
108,mike_sidesun,MobileFaceNet,2.599,155.64,58.96,95.18,1,Unknown;Mike;Unknown
109,mike_sidesun,MobileFaceNet,2.62,155.64,58.96,95.18,1,Unknown;Mike;Unknown
110,mike_sidesun,MobileFaceNet,2.642,155.64,58.96,95.18,1,Unknown;Mike;Unknown
111,mike_sidesun,MobileFaceNet,2.663,155.64,58.96,95.18,1,Unknown;Mike;Unknown
112,mike_sidesun,MobileFaceNet,2.681,103.63,14.34,48.93,1,Mike;Unknown;Unknown
113,mike_sidesun,MobileFaceNet,2.706,103.63,14.34,48.93,1,Mike;Unknown;Unknown
114,mike_sidesun,MobileFaceNet,2.725,103.63,14.34,48.93,1,Mike;Unknown;Unknown
115,mike_sidesun,MobileFaceNet,2.749,103.63,14.34,48.93,1,Mike;Unknown;Unknown
116,mike_sidesun,MobileFaceNet,2.771,103.63,14.34,48.93,1,Mike;Unknown;Unknown
117,mike_sidesun,MobileFaceNet,2.79,103.63,14.34,48.93,1,Mike;Unknown;Unknown
118,mike_sidesun,MobileFaceNet,2.81,80.64,9.54,69.59,1,Mike;Unknown
119,mike_sidesun,MobileFaceNet,2.838,80.64,9.54,69.59,1,Mike;Unknown
120,mike_sidesun,MobileFaceNet,2.859,80.64,9.54,69.59,1,Mike;Unknown
121,mike_sidesun,MobileFaceNet,2.881,80.64,9.54,69.59,1,Mike;Unknown
122,mike_sidesun,MobileFaceNet,2.903,80.64,9.54,69.59,1,Mike;Unknown
123,mike_sidesun,MobileFaceNet,2.924,80.64,9.54,69.59,1,Mike;Unknown
124,mike_sidesun,MobileFaceNet,2.948,80.64,9.54,69.59,1,Mike;Unknown
125,mike_sidesun,MobileFaceNet,2.973,133.4,11.17,121.72,1,Mike;Unknown;Unknown
126,mike_sidesun,MobileFaceNet,2.993,133.4,11.17,121.72,1,Mike;Unknown;Unknown
127,mike_sidesun,MobileFaceNet,3.015,133.4,11.17,121.72,1,Mike;Unknown;Unknown
128,mike_sidesun,MobileFaceNet,3.036,133.4,11.17,121.72,1,Mike;Unknown;Unknown
129,mike_sidesun,MobileFaceNet,3.06,133.4,11.17,121.72,1,Mike;Unknown;Unknown
