frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,mike_sunabove,MobileFaceNet,0.109,0.0,0.0,0.0,0,
2,mike_sunabove,MobileFaceNet,0.125,0.0,0.0,0.0,0,
3,mike_sunabove,MobileFaceNet,0.146,0.0,0.0,0.0,0,
4,mike_sunabove,MobileFaceNet,0.167,0.0,0.0,0.0,0,
5,mike_sunabove,MobileFaceNet,0.187,0.0,0.0,0.0,0,
6,mike_sunabove,MobileFaceNet,0.208,0.0,0.0,0.0,0,
7,mike_sunabove,MobileFaceNet,0.226,0.0,0.0,0.0,0,
8,mike_sunabove,MobileFaceNet,0.248,0.0,0.0,0.0,0,
9,mike_sunabove,MobileFaceNet,0.27,0.0,0.0,0.0,0,
10,mike_sunabove,MobileFaceNet,0.289,0.0,0.0,0.0,0,
11,mike_sunabove,MobileFaceNet,0.309,0.0,0.0,0.0,0,
12,mike_sunabove,MobileFaceNet,0.329,0.0,0.0,0.0,0,
13,mike_sunabove,MobileFaceNet,0.349,0.0,0.0,0.0,0,
14,mike_sunabove,MobileFaceNet,0.37,0.0,0.0,0.0,0,
15,mike_sunabove,MobileFaceNet,0.391,0.0,0.0,0.0,0,
16,mike_sunabove,MobileFaceNet,0.412,0.0,0.0,0.0,0,
17,mike_sunabove,MobileFaceNet,0.434,0.0,0.0,0.0,0,
18,mike_sunabove,MobileFaceNet,0.454,0.0,0.0,0.0,0,
19,mike_sunabove,MobileFaceNet,0.475,0.0,0.0,0.0,0,
20,mike_sunabove,MobileFaceNet,0.496,0.0,0.0,0.0,0,
21,mike_sunabove,MobileFaceNet,0.517,0.0,0.0,0.0,0,
22,mike_sunabove,MobileFaceNet,0.538,0.0,0.0,0.0,0,
23,mike_sunabove,MobileFaceNet,0.559,0.0,0.0,0.0,0,
24,mike_sunabove,MobileFaceNet,0.579,0.0,0.0,0.0,0,
25,mike_sunabove,MobileFaceNet,0.602,0.0,0.0,0.0,0,
26,mike_sunabove,MobileFaceNet,0.623,0.0,0.0,0.0,0,
27,mike_sunabove,MobileFaceNet,0.642,0.0,0.0,0.0,0,
28,mike_sunabove,MobileFaceNet,0.662,0.0,0.0,0.0,0,
29,mike_sunabove,MobileFaceNet,0.685,0.0,0.0,0.0,0,
30,mike_sunabove,MobileFaceNet,0.708,0.0,0.0,0.0,0,
31,mike_sunabove,MobileFaceNet,0.729,0.0,0.0,0.0,0,
32,mike_sunabove,MobileFaceNet,0.752,0.0,0.0,0.0,0,
33,mike_sunabove,MobileFaceNet,0.773,0.0,0.0,0.0,0,
34,mike_sunabove,MobileFaceNet,0.792,0.0,0.0,0.0,0,
35,mike_sunabove,MobileFaceNet,0.813,0.0,0.0,0.0,0,
36,mike_sunabove,MobileFaceNet,0.835,0.0,0.0,0.0,0,
37,mike_sunabove,MobileFaceNet,0.857,0.0,0.0,0.0,0,
38,mike_sunabove,MobileFaceNet,0.878,0.0,0.0,0.0,0,
