frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_extremesidelight,MobileFaceNet,0.105,0.0,0.0,0.0,0,
2,rohan_extremesidelight,MobileFaceNet,0.125,0.0,0.0,0.0,0,
3,rohan_extremesidelight,MobileFaceNet,0.144,0.0,0.0,0.0,0,
4,rohan_extremesidelight,MobileFaceNet,0.165,0.0,0.0,0.0,0,
5,rohan_extremesidelight,MobileFaceNet,0.184,0.0,0.0,0.0,0,
6,rohan_extremesidelight,MobileFaceNet,0.209,0.0,0.0,0.0,0,
7,rohan_extremesidelight,MobileFaceNet,0.229,0.0,0.0,0.0,0,
8,rohan_extremesidelight,MobileFaceNet,0.25,0.0,0.0,0.0,0,
9,rohan_extremesidelight,MobileFaceNet,0.272,0.0,0.0,0.0,0,
10,rohan_extremesidelight,MobileFaceNet,0.293,0.0,0.0,0.0,0,
11,rohan_extremesidelight,MobileFaceNet,0.315,0.0,0.0,0.0,0,
12,rohan_extremesidelight,MobileFaceNet,0.336,0.0,0.0,0.0,0,
13,rohan_extremesidelight,MobileFaceNet,0.357,0.0,0.0,0.0,0,
14,rohan_extremesidelight,MobileFaceNet,0.376,0.0,0.0,0.0,0,
15,rohan_extremesidelight,MobileFaceNet,0.396,0.0,0.0,0.0,0,
16,rohan_extremesidelight,MobileFaceNet,0.417,0.0,0.0,0.0,0,
17,rohan_extremesidelight,MobileFaceNet,0.44,0.0,0.0,0.0,0,
18,rohan_extremesidelight,MobileFaceNet,0.461,0.0,0.0,0.0,0,
19,rohan_extremesidelight,MobileFaceNet,0.479,0.0,0.0,0.0,0,
20,rohan_extremesidelight,MobileFaceNet,0.5,0.0,0.0,0.0,0,
21,rohan_extremesidelight,MobileFaceNet,0.521,0.0,0.0,0.0,0,
22,rohan_extremesidelight,MobileFaceNet,0.54,0.0,0.0,0.0,0,
23,rohan_extremesidelight,MobileFaceNet,0.562,0.0,0.0,0.0,0,
24,rohan_extremesidelight,MobileFaceNet,0.587,0.0,0.0,0.0,0,
25,rohan_extremesidelight,MobileFaceNet,0.607,0.0,0.0,0.0,0,
26,rohan_extremesidelight,MobileFaceNet,0.627,0.0,0.0,0.0,0,
27,rohan_extremesidelight,MobileFaceNet,0.647,0.0,0.0,0.0,0,
28,rohan_extremesidelight,MobileFaceNet,0.667,0.0,0.0,0.0,0,
29,rohan_extremesidelight,MobileFaceNet,0.69,0.0,0.0,0.0,0,
30,rohan_extremesidelight,MobileFaceNet,0.711,0.0,0.0,0.0,0,
31,rohan_extremesidelight,MobileFaceNet,0.735,0.0,0.0,0.0,0,
32,rohan_extremesidelight,MobileFaceNet,0.76,0.0,0.0,0.0,0,
33,rohan_extremesidelight,MobileFaceNet,0.782,0.0,0.0,0.0,0,
34,rohan_extremesidelight,MobileFaceNet,0.806,0.0,0.0,0.0,0,
35,rohan_extremesidelight,MobileFaceNet,0.827,0.0,0.0,0.0,0,
36,rohan_extremesidelight,MobileFaceNet,0.848,0.0,0.0,0.0,0,
37,rohan_extremesidelight,MobileFaceNet,0.868,0.0,0.0,0.0,0,
38,rohan_extremesidelight,MobileFaceNet,0.892,0.0,0.0,0.0,0,
39,rohan_extremesidelight,MobileFaceNet,0.914,0.0,0.0,0.0,0,
40,rohan_extremesidelight,MobileFaceNet,0.934,0.0,0.0,0.0,0,
41,rohan_extremesidelight,MobileFaceNet,0.959,0.0,0.0,0.0,0,
42,rohan_extremesidelight,MobileFaceNet,0.986,0.0,0.0,0.0,0,
43,rohan_extremesidelight,MobileFaceNet,1.01,0.0,0.0,0.0,0,
44,rohan_extremesidelight,MobileFaceNet,1.03,0.0,0.0,0.0,0,
45,rohan_extremesidelight,MobileFaceNet,1.049,0.0,0.0,0.0,0,
46,rohan_extremesidelight,MobileFaceNet,1.071,0.0,0.0,0.0,0,
47,rohan_extremesidelight,MobileFaceNet,1.095,101.48,25.81,75.15,1,Unknown;Unknown
48,rohan_extremesidelight,MobileFaceNet,1.13,101.48,25.81,75.15,1,Unknown;Unknown
49,rohan_extremesidelight,MobileFaceNet,1.149,101.48,25.81,75.15,1,Unknown;Unknown
50,rohan_extremesidelight,MobileFaceNet,1.17,101.48,25.81,75.15,1,Unknown;Unknown
51,rohan_extremesidelight,MobileFaceNet,1.191,101.48,25.81,75.15,1,Unknown;Unknown
52,rohan_extremesidelight,MobileFaceNet,1.211,101.48,25.81,75.15,1,Unknown;Unknown
53,rohan_extremesidelight,MobileFaceNet,1.237,137.75,11.12,125.56,1,Unknown;Unknown
54,rohan_extremesidelight,MobileFaceNet,1.258,137.75,11.12,125.56,1,Unknown;Unknown
55,rohan_extremesidelight,MobileFaceNet,1.279,137.75,11.12,125.56,1,Unknown;Unknown
56,rohan_extremesidelight,MobileFaceNet,1.299,137.75,11.12,125.56,1,Unknown;Unknown
57,rohan_extremesidelight,MobileFaceNet,1.321,86.97,10.36,74.28,1,Unknown;Unknown
58,rohan_extremesidelight,MobileFaceNet,1.342,86.97,10.36,74.28,1,Unknown;Unknown
59,rohan_extremesidelight,MobileFaceNet,1.366,86.97,10.36,74.28,1,Unknown;Unknown
60,rohan_extremesidelight,MobileFaceNet,1.386,86.97,10.36,74.28,1,Unknown;Unknown
61,rohan_extremesidelight,MobileFaceNet,1.409,86.97,10.36,74.28,1,Unknown;Unknown
62,rohan_extremesidelight,MobileFaceNet,1.429,86.97,10.36,74.28,1,Unknown;Unknown
63,rohan_extremesidelight,MobileFaceNet,1.449,86.97,10.36,74.28,1,Unknown;Unknown
64,rohan_extremesidelight,MobileFaceNet,1.471,92.3,16.35,34.85,1,Unknown;Unknown
65,rohan_extremesidelight,MobileFaceNet,1.494,92.3,16.35,34.85,1,Unknown;Unknown
66,rohan_extremesidelight,MobileFaceNet,1.52,92.3,16.35,34.85,1,Unknown;Unknown
67,rohan_extremesidelight,MobileFaceNet,1.541,92.3,16.35,34.85,1,Unknown;Unknown
68,rohan_extremesidelight,MobileFaceNet,1.563,92.3,16.35,34.85,1,Unknown;Unknown
69,rohan_extremesidelight,MobileFaceNet,1.584,83.61,10.61,72.49,1,Unknown;Unknown
70,rohan_extremesidelight,MobileFaceNet,1.611,83.61,10.61,72.49,1,Unknown;Unknown
71,rohan_extremesidelight,MobileFaceNet,1.631,83.61,10.61,72.49,1,Unknown;Unknown
72,rohan_extremesidelight,MobileFaceNet,1.65,83.61,10.61,72.49,1,Unknown;Unknown
73,rohan_extremesidelight,MobileFaceNet,1.674,83.61,10.61,72.49,1,Unknown;Unknown
74,rohan_extremesidelight,MobileFaceNet,1.694,90.25,11.58,77.68,1,Unknown;Unknown
75,rohan_extremesidelight,MobileFaceNet,1.715,90.25,11.58,77.68,1,Unknown;Unknown
76,rohan_extremesidelight,MobileFaceNet,1.742,90.25,11.58,77.68,1,Unknown;Unknown
77,rohan_extremesidelight,MobileFaceNet,1.763,90.25,11.58,77.68,1,Unknown;Unknown
78,rohan_extremesidelight,MobileFaceNet,1.783,90.25,11.58,77.68,1,Unknown;Unknown
79,rohan_extremesidelight,MobileFaceNet,1.804,90.25,11.58,77.68,1,Unknown;Unknown
80,rohan_extremesidelight,MobileFaceNet,1.825,90.25,11.58,77.68,1,Unknown;Unknown
81,rohan_extremesidelight,MobileFaceNet,1.846,90.25,11.58,77.68,1,Unknown;Unknown
82,rohan_extremesidelight,MobileFaceNet,1.873,136.08,52.53,82.04,1,Unknown;Unknown
83,rohan_extremesidelight,MobileFaceNet,1.894,136.08,52.53,82.04,1,Unknown;Unknown
84,rohan_extremesidelight,MobileFaceNet,1.914,136.08,52.53,82.04,1,Unknown;Unknown
85,rohan_extremesidelight,MobileFaceNet,1.939,136.08,52.53,82.04,1,Unknown;Unknown
86,rohan_extremesidelight,MobileFaceNet,1.958,81.0,14.71,64.78,1,Unknown;Unknown
87,rohan_extremesidelight,MobileFaceNet,1.979,81.0,14.71,64.78,1,Unknown;Unknown
88,rohan_extremesidelight,MobileFaceNet,2.004,81.0,14.71,64.78,1,Unknown;Unknown
89,rohan_extremesidelight,MobileFaceNet,2.025,81.0,14.71,64.78,1,Unknown;Unknown
90,rohan_extremesidelight,MobileFaceNet,2.047,81.0,14.71,64.78,1,Unknown;Unknown
91,rohan_extremesidelight,MobileFaceNet,2.066,81.0,14.71,64.78,1,Unknown;Unknown
92,rohan_extremesidelight,MobileFaceNet,2.089,81.0,14.71,64.78,1,Unknown;Unknown
93,rohan_extremesidelight,MobileFaceNet,2.114,95.63,16.25,78.37,1,Unknown;Unknown
94,rohan_extremesidelight,MobileFaceNet,2.139,95.63,16.25,78.37,1,Unknown;Unknown
95,rohan_extremesidelight,MobileFaceNet,2.159,95.63,16.25,78.37,1,Unknown;Unknown
96,rohan_extremesidelight,MobileFaceNet,2.178,95.63,16.25,78.37,1,Unknown;Unknown
97,rohan_extremesidelight,MobileFaceNet,2.206,91.95,14.16,77.8,1,Unknown;Unknown
