frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_lowcontrst,MobileFaceNet,0.096,0.0,0.0,0.0,0,
2,rohan_lowcontrst,MobileFaceNet,0.113,0.0,0.0,0.0,0,
3,rohan_lowcontrst,MobileFaceNet,0.134,0.0,0.0,0.0,0,
4,rohan_lowcontrst,MobileFaceNet,0.153,0.0,0.0,0.0,0,
5,rohan_lowcontrst,MobileFaceNet,0.173,0.0,0.0,0.0,0,
6,rohan_lowcontrst,MobileFaceNet,0.194,0.0,0.0,0.0,0,
7,rohan_lowcontrst,MobileFaceNet,0.214,0.0,0.0,0.0,0,
8,rohan_lowcontrst,MobileFaceNet,0.234,0.0,0.0,0.0,0,
9,rohan_lowcontrst,MobileFaceNet,0.251,0.0,0.0,0.0,0,
10,rohan_lowcontrst,MobileFaceNet,0.283,0.0,0.0,0.0,0,
11,rohan_lowcontrst,MobileFaceNet,0.303,0.0,0.0,0.0,0,
12,rohan_lowcontrst,MobileFaceNet,0.327,0.0,0.0,0.0,0,
13,rohan_lowcontrst,MobileFaceNet,0.35,0.0,0.0,0.0,0,
14,rohan_lowcontrst,MobileFaceNet,0.371,0.0,0.0,0.0,0,
15,rohan_lowcontrst,MobileFaceNet,0.391,0.0,0.0,0.0,0,
16,rohan_lowcontrst,MobileFaceNet,0.416,0.0,0.0,0.0,0,
17,rohan_lowcontrst,MobileFaceNet,0.434,0.0,0.0,0.0,0,
18,rohan_lowcontrst,MobileFaceNet,0.459,0.0,0.0,0.0,0,
19,rohan_lowcontrst,MobileFaceNet,0.483,0.0,0.0,0.0,0,
20,rohan_lowcontrst,MobileFaceNet,0.504,0.0,0.0,0.0,0,
21,rohan_lowcontrst,MobileFaceNet,0.526,0.0,0.0,0.0,0,
22,rohan_lowcontrst,MobileFaceNet,0.547,0.0,0.0,0.0,0,
23,rohan_lowcontrst,MobileFaceNet,0.569,0.0,0.0,0.0,0,
24,rohan_lowcontrst,MobileFaceNet,0.589,0.0,0.0,0.0,0,
25,rohan_lowcontrst,MobileFaceNet,0.612,0.0,0.0,0.0,0,
26,rohan_lowcontrst,MobileFaceNet,0.633,0.0,0.0,0.0,0,
27,rohan_lowcontrst,MobileFaceNet,0.653,0.0,0.0,0.0,0,
28,rohan_lowcontrst,MobileFaceNet,0.673,0.0,0.0,0.0,0,
29,rohan_lowcontrst,MobileFaceNet,0.695,0.0,0.0,0.0,0,
30,rohan_lowcontrst,MobileFaceNet,0.713,0.0,0.0,0.0,0,
31,rohan_lowcontrst,MobileFaceNet,0.733,0.0,0.0,0.0,0,
32,rohan_lowcontrst,MobileFaceNet,0.755,0.0,0.0,0.0,0,
33,rohan_lowcontrst,MobileFaceNet,0.786,0.0,0.0,0.0,0,
34,rohan_lowcontrst,MobileFaceNet,0.805,0.0,0.0,0.0,0,
35,rohan_lowcontrst,MobileFaceNet,0.824,0.0,0.0,0.0,0,
36,rohan_lowcontrst,MobileFaceNet,0.846,0.0,0.0,0.0,0,
37,rohan_lowcontrst,MobileFaceNet,0.866,0.0,0.0,0.0,0,
38,rohan_lowcontrst,MobileFaceNet,0.886,0.0,0.0,0.0,0,
39,rohan_lowcontrst,MobileFaceNet,0.907,0.0,0.0,0.0,0,
40,rohan_lowcontrst,MobileFaceNet,0.929,0.0,0.0,0.0,0,
41,rohan_lowcontrst,MobileFaceNet,0.947,0.0,0.0,0.0,0,
42,rohan_lowcontrst,MobileFaceNet,0.968,0.0,0.0,0.0,0,
43,rohan_lowcontrst,MobileFaceNet,0.999,0.0,0.0,0.0,0,
44,rohan_lowcontrst,MobileFaceNet,1.02,0.0,0.0,0.0,0,
45,rohan_lowcontrst,MobileFaceNet,1.044,0.0,0.0,0.0,0,
46,rohan_lowcontrst,MobileFaceNet,1.077,0.0,0.0,0.0,0,
47,rohan_lowcontrst,MobileFaceNet,1.104,0.0,0.0,0.0,0,
48,rohan_lowcontrst,MobileFaceNet,1.124,0.0,0.0,0.0,0,
49,rohan_lowcontrst,MobileFaceNet,1.147,0.0,0.0,0.0,0,
50,rohan_lowcontrst,MobileFaceNet,1.166,0.0,0.0,0.0,0,
51,rohan_lowcontrst,MobileFaceNet,1.185,0.0,0.0,0.0,0,
52,rohan_lowcontrst,MobileFaceNet,1.205,0.0,0.0,0.0,0,
53,rohan_lowcontrst,MobileFaceNet,1.235,0.0,0.0,0.0,0,
54,rohan_lowcontrst,MobileFaceNet,1.255,132.28,53.93,76.31,1,Unknown;Unknown
55,rohan_lowcontrst,MobileFaceNet,1.287,132.28,53.93,76.31,1,Unknown;Unknown
56,rohan_lowcontrst,MobileFaceNet,1.306,132.28,53.93,76.31,1,Unknown;Unknown
57,rohan_lowcontrst,MobileFaceNet,1.33,85.1,15.62,67.97,1,Unknown;Unknown
58,rohan_lowcontrst,MobileFaceNet,1.351,85.1,15.62,67.97,1,Unknown;Unknown
59,rohan_lowcontrst,MobileFaceNet,1.375,85.1,15.62,67.97,1,Unknown;Unknown
60,rohan_lowcontrst,MobileFaceNet,1.395,85.1,15.62,67.97,1,Unknown;Unknown
61,rohan_lowcontrst,MobileFaceNet,1.416,85.1,15.62,67.97,1,Unknown;Unknown
62,rohan_lowcontrst,MobileFaceNet,1.436,85.1,15.62,67.97,1,Unknown;Unknown
