frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_neardark,MobileFaceNet,0.101,0.0,0.0,0.0,0,
2,rohan_neardark,MobileFaceNet,0.116,0.0,0.0,0.0,0,
3,rohan_neardark,MobileFaceNet,0.136,0.0,0.0,0.0,0,
4,rohan_neardark,MobileFaceNet,0.157,0.0,0.0,0.0,0,
5,rohan_neardark,MobileFaceNet,0.179,0.0,0.0,0.0,0,
6,rohan_neardark,MobileFaceNet,0.202,0.0,0.0,0.0,0,
7,rohan_neardark,MobileFaceNet,0.222,0.0,0.0,0.0,0,
8,rohan_neardark,MobileFaceNet,0.242,0.0,0.0,0.0,0,
9,rohan_neardark,MobileFaceNet,0.261,0.0,0.0,0.0,0,
10,rohan_neardark,MobileFaceNet,0.282,0.0,0.0,0.0,0,
11,rohan_neardark,MobileFaceNet,0.301,0.0,0.0,0.0,0,
12,rohan_neardark,MobileFaceNet,0.322,0.0,0.0,0.0,0,
13,rohan_neardark,MobileFaceNet,0.343,0.0,0.0,0.0,0,
14,rohan_neardark,MobileFaceNet,0.366,0.0,0.0,0.0,0,
15,rohan_neardark,MobileFaceNet,0.389,0.0,0.0,0.0,0,
16,rohan_neardark,MobileFaceNet,0.41,0.0,0.0,0.0,0,
17,rohan_neardark,MobileFaceNet,0.436,0.0,0.0,0.0,0,
18,rohan_neardark,MobileFaceNet,0.457,0.0,0.0,0.0,0,
19,rohan_neardark,MobileFaceNet,0.479,0.0,0.0,0.0,0,
20,rohan_neardark,MobileFaceNet,0.5,0.0,0.0,0.0,0,
21,rohan_neardark,MobileFaceNet,0.521,0.0,0.0,0.0,0,
22,rohan_neardark,MobileFaceNet,0.542,0.0,0.0,0.0,0,
23,rohan_neardark,MobileFaceNet,0.564,0.0,0.0,0.0,0,
24,rohan_neardark,MobileFaceNet,0.586,0.0,0.0,0.0,0,
25,rohan_neardark,MobileFaceNet,0.606,0.0,0.0,0.0,0,
26,rohan_neardark,MobileFaceNet,0.626,0.0,0.0,0.0,0,
27,rohan_neardark,MobileFaceNet,0.648,0.0,0.0,0.0,0,
28,rohan_neardark,MobileFaceNet,0.668,0.0,0.0,0.0,0,
29,rohan_neardark,MobileFaceNet,0.688,0.0,0.0,0.0,0,
30,rohan_neardark,MobileFaceNet,0.708,0.0,0.0,0.0,0,
31,rohan_neardark,MobileFaceNet,0.731,0.0,0.0,0.0,0,
32,rohan_neardark,MobileFaceNet,0.752,0.0,0.0,0.0,0,
33,rohan_neardark,MobileFaceNet,0.772,0.0,0.0,0.0,0,
34,rohan_neardark,MobileFaceNet,0.793,0.0,0.0,0.0,0,
35,rohan_neardark,MobileFaceNet,0.813,0.0,0.0,0.0,0,
36,rohan_neardark,MobileFaceNet,0.836,0.0,0.0,0.0,0,
37,rohan_neardark,MobileFaceNet,0.858,0.0,0.0,0.0,0,
38,rohan_neardark,MobileFaceNet,0.879,0.0,0.0,0.0,0,
39,rohan_neardark,MobileFaceNet,0.899,0.0,0.0,0.0,0,
40,rohan_neardark,MobileFaceNet,0.92,0.0,0.0,0.0,0,
41,rohan_neardark,MobileFaceNet,0.94,0.0,0.0,0.0,0,
42,rohan_neardark,MobileFaceNet,0.961,0.0,0.0,0.0,0,
43,rohan_neardark,MobileFaceNet,0.993,0.0,0.0,0.0,0,
44,rohan_neardark,MobileFaceNet,1.019,0.0,0.0,0.0,0,
45,rohan_neardark,MobileFaceNet,1.04,0.0,0.0,0.0,0,
46,rohan_neardark,MobileFaceNet,1.062,0.0,0.0,0.0,0,
47,rohan_neardark,MobileFaceNet,1.083,0.0,0.0,0.0,0,
48,rohan_neardark,MobileFaceNet,1.104,0.0,0.0,0.0,0,
49,rohan_neardark,MobileFaceNet,1.125,0.0,0.0,0.0,0,
50,rohan_neardark,MobileFaceNet,1.144,0.0,0.0,0.0,0,
51,rohan_neardark,MobileFaceNet,1.18,0.0,0.0,0.0,0,
52,rohan_neardark,MobileFaceNet,1.192,0.0,0.0,0.0,0,
53,rohan_neardark,MobileFaceNet,1.211,0.0,0.0,0.0,0,
54,rohan_neardark,MobileFaceNet,1.234,0.0,0.0,0.0,0,
55,rohan_neardark,MobileFaceNet,1.255,0.0,0.0,0.0,0,
56,rohan_neardark,MobileFaceNet,1.274,0.0,0.0,0.0,0,
57,rohan_neardark,MobileFaceNet,1.299,0.0,0.0,0.0,0,
58,rohan_neardark,MobileFaceNet,1.321,0.0,0.0,0.0,0,
59,rohan_neardark,MobileFaceNet,1.342,93.09,16.09,75.49,1,Unknown;Unknown
60,rohan_neardark,MobileFaceNet,1.373,93.09,16.09,75.49,1,Unknown;Unknown
61,rohan_neardark,MobileFaceNet,1.394,93.09,16.09,75.49,1,Unknown;Unknown
62,rohan_neardark,MobileFaceNet,1.416,93.09,16.09,75.49,1,Unknown;Unknown
63,rohan_neardark,MobileFaceNet,1.435,93.09,16.09,75.49,1,Unknown;Unknown
64,rohan_neardark,MobileFaceNet,1.457,93.09,16.09,75.49,1,Unknown;Unknown
65,rohan_neardark,MobileFaceNet,1.481,162.06,13.83,147.72,1,Unknown;Unknown;Unknown
66,rohan_neardark,MobileFaceNet,1.501,162.06,13.83,147.72,1,Unknown;Unknown;Unknown
67,rohan_neardark,MobileFaceNet,1.522,162.06,13.83,147.72,1,Unknown;Unknown;Unknown
