frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_sunabove,MobileFaceNet,0.094,0.0,0.0,0.0,0,
2,rohan_sunabove,MobileFaceNet,0.115,0.0,0.0,0.0,0,
3,rohan_sunabove,MobileFaceNet,0.136,0.0,0.0,0.0,0,
4,rohan_sunabove,MobileFaceNet,0.16,0.0,0.0,0.0,0,
5,rohan_sunabove,MobileFaceNet,0.185,63.1,16.65,45.43,1,Unknown;Unknown
6,rohan_sunabove,MobileFaceNet,0.214,63.1,16.65,45.43,1,Unknown;Unknown
7,rohan_sunabove,MobileFaceNet,0.234,63.1,16.65,45.43,1,Unknown;Unknown
8,rohan_sunabove,MobileFaceNet,0.268,70.15,10.07,58.07,1,Unknown;Unknown
9,rohan_sunabove,MobileFaceNet,0.291,70.15,10.07,58.07,1,Unknown;Unknown
10,rohan_sunabove,MobileFaceNet,0.31,70.15,10.07,58.07,1,Unknown;Unknown
11,rohan_sunabove,MobileFaceNet,0.33,70.15,10.07,58.07,1,Unknown;Unknown
12,rohan_sunabove,MobileFaceNet,0.356,70.15,10.07,58.07,1,Unknown;Unknown
13,rohan_sunabove,MobileFaceNet,0.378,88.06,9.04,79.02,1,Unknown;Unknown
14,rohan_sunabove,MobileFaceNet,0.397,54.88,11.58,43.31,1,Unknown;Unknown
15,rohan_sunabove,MobileFaceNet,0.418,54.88,11.58,43.31,1,Unknown;Unknown
16,rohan_sunabove,MobileFaceNet,0.442,54.88,11.58,43.31,1,Unknown;Unknown
17,rohan_sunabove,MobileFaceNet,0.463,54.88,11.58,43.31,1,Unknown;Unknown
18,rohan_sunabove,MobileFaceNet,0.486,54.88,11.58,43.31,1,Unknown;Unknown
19,rohan_sunabove,MobileFaceNet,0.506,54.88,11.58,43.31,1,Unknown;Unknown
20,rohan_sunabove,MobileFaceNet,0.526,54.88,11.58,43.31,1,Unknown;Unknown
21,rohan_sunabove,MobileFaceNet,0.551,90.71,10.77,79.44,1,Unknown;Unknown
22,rohan_sunabove,MobileFaceNet,0.57,90.71,10.77,79.44,1,Unknown;Unknown
23,rohan_sunabove,MobileFaceNet,0.589,90.71,10.77,79.44,1,Unknown;Unknown
24,rohan_sunabove,MobileFaceNet,0.609,90.71,10.77,79.44,1,Unknown;Unknown
25,rohan_sunabove,MobileFaceNet,0.628,81.68,9.56,65.08,1,Unknown;Unknown
26,rohan_sunabove,MobileFaceNet,0.647,81.68,9.56,65.08,1,Unknown;Unknown
27,rohan_sunabove,MobileFaceNet,0.673,81.68,9.56,65.08,1,Unknown;Unknown
28,rohan_sunabove,MobileFaceNet,0.692,81.68,9.56,65.08,1,Unknown;Unknown
29,rohan_sunabove,MobileFaceNet,0.711,81.68,9.56,65.08,1,Unknown;Unknown
30,rohan_sunabove,MobileFaceNet,0.732,81.68,9.56,65.08,1,Unknown;Unknown
31,rohan_sunabove,MobileFaceNet,0.752,81.68,9.56,65.08,1,Unknown;Unknown
32,rohan_sunabove,MobileFaceNet,0.779,95.19,11.62,83.56,1,Unknown;Unknown;Unknown
33,rohan_sunabove,MobileFaceNet,0.801,95.19,11.62,83.56,1,Unknown;Unknown;Unknown
34,rohan_sunabove,MobileFaceNet,0.822,95.19,11.62,83.56,1,Unknown;Unknown;Unknown
35,rohan_sunabove,MobileFaceNet,0.841,95.19,11.62,83.56,1,Unknown;Unknown;Unknown
36,rohan_sunabove,MobileFaceNet,0.866,95.19,11.62,83.56,1,Unknown;Unknown;Unknown
37,rohan_sunabove,MobileFaceNet,0.886,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
38,rohan_sunabove,MobileFaceNet,0.905,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
39,rohan_sunabove,MobileFaceNet,0.926,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
40,rohan_sunabove,MobileFaceNet,0.944,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
41,rohan_sunabove,MobileFaceNet,0.964,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
42,rohan_sunabove,MobileFaceNet,0.986,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
43,rohan_sunabove,MobileFaceNet,1.007,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
44,rohan_sunabove,MobileFaceNet,1.026,97.4,9.57,86.81,1,Unknown;Unknown;Unknown
45,rohan_sunabove,MobileFaceNet,1.053,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
46,rohan_sunabove,MobileFaceNet,1.075,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
47,rohan_sunabove,MobileFaceNet,1.094,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
48,rohan_sunabove,MobileFaceNet,1.114,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
49,rohan_sunabove,MobileFaceNet,1.134,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
50,rohan_sunabove,MobileFaceNet,1.169,175.32,11.1,162.72,1,Unknown;Unknown;Unknown;Unknown
51,rohan_sunabove,MobileFaceNet,1.191,124.58,9.69,114.27,1,Unknown;Unknown;Unknown
52,rohan_sunabove,MobileFaceNet,1.21,124.58,9.69,114.27,1,Unknown;Unknown;Unknown
53,rohan_sunabove,MobileFaceNet,1.229,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
54,rohan_sunabove,MobileFaceNet,1.25,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
55,rohan_sunabove,MobileFaceNet,1.286,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
56,rohan_sunabove,MobileFaceNet,1.303,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
57,rohan_sunabove,MobileFaceNet,1.323,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
58,rohan_sunabove,MobileFaceNet,1.344,62.31,11.66,50.66,1,Unknown;Unknown;Unknown
59,rohan_sunabove,MobileFaceNet,1.377,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
60,rohan_sunabove,MobileFaceNet,1.402,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
61,rohan_sunabove,MobileFaceNet,1.422,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
62,rohan_sunabove,MobileFaceNet,1.443,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
63,rohan_sunabove,MobileFaceNet,1.463,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
64,rohan_sunabove,MobileFaceNet,1.484,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
65,rohan_sunabove,MobileFaceNet,1.505,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
66,rohan_sunabove,MobileFaceNet,1.525,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
67,rohan_sunabove,MobileFaceNet,1.544,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
68,rohan_sunabove,MobileFaceNet,1.563,93.92,10.13,82.77,1,Unknown;Unknown;Unknown
69,rohan_sunabove,MobileFaceNet,1.592,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
70,rohan_sunabove,MobileFaceNet,1.612,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
71,rohan_sunabove,MobileFaceNet,1.633,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
72,rohan_sunabove,MobileFaceNet,1.653,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
73,rohan_sunabove,MobileFaceNet,1.675,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
74,rohan_sunabove,MobileFaceNet,1.694,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
75,rohan_sunabove,MobileFaceNet,1.716,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
76,rohan_sunabove,MobileFaceNet,1.736,177.66,53.8,109.31,1,Unknown;Unknown;Unknown;Unknown
77,rohan_sunabove,MobileFaceNet,1.761,174.3,11.05,162.64,1,Unknown;Unknown;Rohan;Unknown
78,rohan_sunabove,MobileFaceNet,1.903,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
79,rohan_sunabove,MobileFaceNet,1.943,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
80,rohan_sunabove,MobileFaceNet,1.963,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
81,rohan_sunabove,MobileFaceNet,1.984,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
82,rohan_sunabove,MobileFaceNet,2.004,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
83,rohan_sunabove,MobileFaceNet,2.035,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
84,rohan_sunabove,MobileFaceNet,2.057,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
85,rohan_sunabove,MobileFaceNet,2.078,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
86,rohan_sunabove,MobileFaceNet,2.097,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
87,rohan_sunabove,MobileFaceNet,2.118,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
88,rohan_sunabove,MobileFaceNet,2.143,124.67,12.62,111.04,1,Unknown;Unknown;Unknown;Unknown
89,rohan_sunabove,MobileFaceNet,2.163,200.18,53.41,141.69,1,Unknown;Unknown;Unknown;Unknown
90,rohan_sunabove,MobileFaceNet,2.185,200.18,53.41,141.69,1,Unknown;Unknown;Unknown;Unknown
91,rohan_sunabove,MobileFaceNet,2.207,200.18,53.41,141.69,1,Unknown;Unknown;Unknown;Unknown
92,rohan_sunabove,MobileFaceNet,2.228,200.18,53.41,141.69,1,Unknown;Unknown;Unknown;Unknown
93,rohan_sunabove,MobileFaceNet,2.249,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
94,rohan_sunabove,MobileFaceNet,2.27,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
95,rohan_sunabove,MobileFaceNet,2.292,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
96,rohan_sunabove,MobileFaceNet,2.317,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
97,rohan_sunabove,MobileFaceNet,2.34,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
98,rohan_sunabove,MobileFaceNet,2.359,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
99,rohan_sunabove,MobileFaceNet,2.379,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
100,rohan_sunabove,MobileFaceNet,2.401,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
101,rohan_sunabove,MobileFaceNet,2.421,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
102,rohan_sunabove,MobileFaceNet,2.443,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
103,rohan_sunabove,MobileFaceNet,2.464,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
104,rohan_sunabove,MobileFaceNet,2.485,109.95,12.05,97.89,1,Unknown;Unknown;Rohan
105,rohan_sunabove,MobileFaceNet,2.51,195.49,52.14,142.34,1,Unknown;Unknown;Rohan;Unknown
106,rohan_sunabove,MobileFaceNet,2.53,195.49,52.14,142.34,1,Unknown;Unknown;Rohan;Unknown
107,rohan_sunabove,MobileFaceNet,2.551,195.49,52.14,142.34,1,Unknown;Unknown;Rohan;Unknown
108,rohan_sunabove,MobileFaceNet,2.574,195.49,52.14,142.34,1,Unknown;Unknown;Rohan;Unknown
109,rohan_sunabove,MobileFaceNet,2.605,195.49,52.14,142.34,1,Unknown;Unknown;Rohan;Unknown
110,rohan_sunabove,MobileFaceNet,2.631,112.01,14.1,97.92,1,Unknown;Unknown;Rohan
111,rohan_sunabove,MobileFaceNet,2.654,112.01,14.1,97.92,1,Unknown;Unknown;Rohan
112,rohan_sunabove,MobileFaceNet,2.675,112.01,14.1,97.92,1,Unknown;Unknown;Rohan
113,rohan_sunabove,MobileFaceNet,2.695,112.01,14.1,97.92,1,Unknown;Unknown;Rohan
114,rohan_sunabove,MobileFaceNet,2.718,112.01,14.1,97.92,1,Unknown;Unknown;Rohan
115,rohan_sunabove,MobileFaceNet,2.742,107.48,13.42,93.56,1,Unknown;Unknown;Rohan
116,rohan_sunabove,MobileFaceNet,2.765,107.48,13.42,93.56,1,Unknown;Unknown;Rohan
117,rohan_sunabove,MobileFaceNet,2.785,107.48,13.42,93.56,1,Unknown;Unknown;Rohan
118,rohan_sunabove,MobileFaceNet,2.806,107.48,13.42,93.56,1,Unknown;Unknown;Rohan
119,rohan_sunabove,MobileFaceNet,2.828,107.48,13.42,93.56,1,Unknown;Unknown;Rohan
120,rohan_sunabove,MobileFaceNet,2.855,117.51,11.56,105.95,1,Unknown;Unknown;Rohan;Unknown
