frame,clip_id,recognizer,elapsed_s,total_ms,det_ms,recog_ms,had_face,predicted_label
1,rohan_sunside,MobileFaceNet,0.103,0.0,0.0,0.0,0,
2,rohan_sunside,MobileFaceNet,0.128,0.0,0.0,0.0,0,
3,rohan_sunside,MobileFaceNet,0.142,0.0,0.0,0.0,0,
4,rohan_sunside,MobileFaceNet,0.164,0.0,0.0,0.0,0,
5,rohan_sunside,MobileFaceNet,0.185,0.0,0.0,0.0,0,
6,rohan_sunside,MobileFaceNet,0.206,0.0,0.0,0.0,0,
7,rohan_sunside,MobileFaceNet,0.227,0.0,0.0,0.0,0,
8,rohan_sunside,MobileFaceNet,0.249,0.0,0.0,0.0,0,
9,rohan_sunside,MobileFaceNet,0.271,0.0,0.0,0.0,0,
10,rohan_sunside,MobileFaceNet,0.3,179.32,19.59,157.81,1,Unknown;Unknown;Unknown
11,rohan_sunside,MobileFaceNet,0.335,179.32,19.59,157.81,1,Unknown;Unknown;Unknown
12,rohan_sunside,MobileFaceNet,0.355,179.32,19.59,157.81,1,Unknown;Unknown;Unknown
13,rohan_sunside,MobileFaceNet,0.376,179.32,19.59,157.81,1,Unknown;Unknown;Unknown
14,rohan_sunside,MobileFaceNet,0.397,179.32,19.59,157.81,1,Unknown;Unknown;Unknown
15,rohan_sunside,MobileFaceNet,0.428,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
16,rohan_sunside,MobileFaceNet,0.446,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
17,rohan_sunside,MobileFaceNet,0.48,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
18,rohan_sunside,MobileFaceNet,0.499,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
19,rohan_sunside,MobileFaceNet,0.52,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
20,rohan_sunside,MobileFaceNet,0.541,128.62,22.19,104.47,1,Unknown;Unknown;Unknown
21,rohan_sunside,MobileFaceNet,0.566,79.21,11.13,67.07,1,Unknown;Unknown
22,rohan_sunside,MobileFaceNet,0.585,79.21,11.13,67.07,1,Unknown;Unknown
23,rohan_sunside,MobileFaceNet,0.605,79.21,11.13,67.07,1,Unknown;Unknown
24,rohan_sunside,MobileFaceNet,0.627,79.21,11.13,67.07,1,Unknown;Unknown
25,rohan_sunside,MobileFaceNet,0.65,79.21,11.13,67.07,1,Unknown;Unknown
26,rohan_sunside,MobileFaceNet,0.669,79.21,11.13,67.07,1,Unknown;Unknown
27,rohan_sunside,MobileFaceNet,0.692,79.21,11.13,67.07,1,Unknown;Unknown
28,rohan_sunside,MobileFaceNet,0.712,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
29,rohan_sunside,MobileFaceNet,0.734,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
30,rohan_sunside,MobileFaceNet,0.76,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
31,rohan_sunside,MobileFaceNet,0.782,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
32,rohan_sunside,MobileFaceNet,0.806,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
33,rohan_sunside,MobileFaceNet,0.827,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
34,rohan_sunside,MobileFaceNet,0.848,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
35,rohan_sunside,MobileFaceNet,0.867,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
36,rohan_sunside,MobileFaceNet,0.886,155.39,12.88,141.49,1,Unknown;Unknown;Unknown
37,rohan_sunside,MobileFaceNet,0.916,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
38,rohan_sunside,MobileFaceNet,0.928,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
39,rohan_sunside,MobileFaceNet,0.948,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
40,rohan_sunside,MobileFaceNet,0.967,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
41,rohan_sunside,MobileFaceNet,0.987,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
42,rohan_sunside,MobileFaceNet,1.008,145.87,55.24,89.13,1,Unknown;Unknown;Unknown
43,rohan_sunside,MobileFaceNet,1.034,116.73,13.28,103.45,1,Unknown;Unknown;Rohan
44,rohan_sunside,MobileFaceNet,1.195,113.75,10.95,101.29,1,Unknown;Unknown;Rohan
45,rohan_sunside,MobileFaceNet,1.209,113.75,10.95,101.29,1,Unknown;Unknown;Rohan
46,rohan_sunside,MobileFaceNet,1.235,113.75,10.95,101.29,1,Unknown;Unknown;Rohan
47,rohan_sunside,MobileFaceNet,1.262,113.75,10.95,101.29,1,Unknown;Unknown;Rohan
48,rohan_sunside,MobileFaceNet,1.284,113.75,10.95,101.29,1,Unknown;Unknown;Rohan
49,rohan_sunside,MobileFaceNet,1.308,155.71,12.72,141.44,1,Unknown;Unknown;Rohan
50,rohan_sunside,MobileFaceNet,1.329,155.71,12.72,141.44,1,Unknown;Unknown;Rohan
51,rohan_sunside,MobileFaceNet,1.351,155.71,12.72,141.44,1,Unknown;Unknown;Rohan
52,rohan_sunside,MobileFaceNet,1.372,155.71,12.72,141.44,1,Unknown;Unknown;Rohan
53,rohan_sunside,MobileFaceNet,1.397,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
54,rohan_sunside,MobileFaceNet,1.418,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
55,rohan_sunside,MobileFaceNet,1.448,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
56,rohan_sunside,MobileFaceNet,1.459,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
57,rohan_sunside,MobileFaceNet,1.484,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
58,rohan_sunside,MobileFaceNet,1.504,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
59,rohan_sunside,MobileFaceNet,1.525,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
60,rohan_sunside,MobileFaceNet,1.545,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
61,rohan_sunside,MobileFaceNet,1.567,94.68,9.58,84.54,1,Unknown;Unknown;Rohan
62,rohan_sunside,MobileFaceNet,1.586,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
63,rohan_sunside,MobileFaceNet,1.609,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
64,rohan_sunside,MobileFaceNet,1.632,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
65,rohan_sunside,MobileFaceNet,1.657,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
66,rohan_sunside,MobileFaceNet,1.679,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
67,rohan_sunside,MobileFaceNet,1.704,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
68,rohan_sunside,MobileFaceNet,1.726,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
69,rohan_sunside,MobileFaceNet,1.747,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
70,rohan_sunside,MobileFaceNet,1.77,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
71,rohan_sunside,MobileFaceNet,1.794,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
72,rohan_sunside,MobileFaceNet,1.816,145.1,16.62,127.48,1,Unknown;Unknown;Unknown
73,rohan_sunside,MobileFaceNet,1.845,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
74,rohan_sunside,MobileFaceNet,1.871,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
75,rohan_sunside,MobileFaceNet,1.891,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
76,rohan_sunside,MobileFaceNet,1.914,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
77,rohan_sunside,MobileFaceNet,1.935,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
78,rohan_sunside,MobileFaceNet,1.957,184.0,52.28,130.18,1,Unknown;Unknown;Rohan
79,rohan_sunside,MobileFaceNet,1.982,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
80,rohan_sunside,MobileFaceNet,2.002,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
81,rohan_sunside,MobileFaceNet,2.024,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
82,rohan_sunside,MobileFaceNet,2.047,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
83,rohan_sunside,MobileFaceNet,2.066,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
84,rohan_sunside,MobileFaceNet,2.088,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
85,rohan_sunside,MobileFaceNet,2.109,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
86,rohan_sunside,MobileFaceNet,2.13,147.28,11.27,136.01,1,Unknown;Unknown;Rohan
87,rohan_sunside,MobileFaceNet,2.156,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
88,rohan_sunside,MobileFaceNet,2.179,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
89,rohan_sunside,MobileFaceNet,2.199,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
90,rohan_sunside,MobileFaceNet,2.219,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
91,rohan_sunside,MobileFaceNet,2.241,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
92,rohan_sunside,MobileFaceNet,2.265,157.47,18.7,138.24,1,Unknown;Unknown;Rohan
93,rohan_sunside,MobileFaceNet,2.289,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
94,rohan_sunside,MobileFaceNet,2.315,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
95,rohan_sunside,MobileFaceNet,2.337,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
96,rohan_sunside,MobileFaceNet,2.361,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
97,rohan_sunside,MobileFaceNet,2.385,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
98,rohan_sunside,MobileFaceNet,2.41,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
99,rohan_sunside,MobileFaceNet,2.433,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
100,rohan_sunside,MobileFaceNet,2.456,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
101,rohan_sunside,MobileFaceNet,2.475,142.15,11.55,129.09,1,Unknown;Unknown;Rohan
