frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.115,0.0,0.0,0.0,0
2,0.128,0.0,0.0,0.0,0
3,0.147,0.0,0.0,0.0,0
4,0.175,0.0,0.0,0.0,0
5,0.193,0.0,0.0,0.0,0
6,0.211,0.0,0.0,0.0,0
7,0.228,0.0,0.0,0.0,0
8,0.245,0.0,0.0,0.0,0
9,0.264,0.0,0.0,0.0,0
10,0.281,0.0,0.0,0.0,0
11,0.3,0.0,0.0,0.0,0
12,0.319,0.0,0.0,0.0,0
13,0.337,0.0,0.0,0.0,0
14,0.355,0.0,0.0,0.0,0
15,0.373,0.0,0.0,0.0,0
16,0.39,0.0,0.0,0.0,0
17,0.407,0.0,0.0,0.0,0
18,0.425,0.0,0.0,0.0,0
19,0.442,0.0,0.0,0.0,0
20,0.46,0.0,0.0,0.0,0
21,0.477,0.0,0.0,0.0,0
22,0.495,0.0,0.0,0.0,0
23,0.514,0.0,0.0,0.0,0
24,0.533,0.0,0.0,0.0,0
25,0.551,0.0,0.0,0.0,0
26,0.571,0.0,0.0,0.0,0
27,0.588,0.0,0.0,0.0,0
28,0.607,0.0,0.0,0.0,0
29,0.625,0.0,0.0,0.0,0
30,0.643,0.0,0.0,0.0,0
31,0.662,0.0,0.0,0.0,0
32,0.678,0.0,0.0,0.0,0
33,0.695,0.0,0.0,0.0,0
34,0.713,0.0,0.0,0.0,0
35,0.731,0.0,0.0,0.0,0
36,0.754,0.0,0.0,0.0,0
37,0.772,0.0,0.0,0.0,0
38,0.789,0.0,0.0,0.0,0
39,0.811,62.08,11.99,49.06,1
40,0.837,62.08,11.99,49.06,1
41,0.855,62.08,11.99,49.06,1
42,0.876,58.57,11.52,46.55,1
43,0.894,58.57,11.52,46.55,1
44,0.911,58.57,11.52,46.55,1
45,0.934,56.07,9.51,46.55,1
46,0.951,56.07,9.51,46.55,1
47,0.969,56.07,9.51,46.55,1
48,0.992,58.07,8.51,48.56,1
49,1.01,58.07,8.51,48.56,1
50,1.038,58.07,8.51,48.56,1
51,1.059,57.57,9.51,46.05,1
52,1.078,57.57,9.51,46.05,1
53,1.095,57.57,9.51,46.05,1
54,1.128,55.56,9.51,45.05,1
55,1.145,55.56,9.51,45.05,1
56,1.177,56.06,8.51,46.55,1
57,1.194,56.06,8.51,46.55,1
58,1.212,56.06,8.51,46.55,1
